Id,Label,type
author_17,Haosen Yang,author
author_19,Xiatian Zhu,author
author_21,Sixu Li,author
author_25,Pascal Sikorski,author
author_26,Kaleb Yu,author
author_27,Lucy Billadeau,author
author_28,Flavio Esposito,author
author_29,Hadi AliAkbarpour,author
author_30,Madi Babaiasl,author
author_33,Weizhu Chen,author
author_46,Jiaxin Deng,author
author_47,Dong Shen,author
author_48,Haojie Pan,author
author_49,Xiangyu Wu,author
author_50,Ximan Liu,author
author_51,Gaofeng Meng,author
author_52,Fan Yang,author
author_53,Size Li,author
author_54,Ruiji Fu,author
author_55,Zhongyuan Wang,author
author_59,Jian Liu,author
author_66,Dahun Kim,author
author_77,Xiaolong Wang,author
author_83,Hartwig Adam,author
author_87,Wayne Xin Zhao,author
author_90,Ji-Rong Wen,author
author_95,Matthew Jagielski,author
author_104,Xin Wang,author
author_114,Lei Zhang,author
author_121,Yuqing Yang,author
author_122,Han Hu,author
author_127,Hao Tan,author
author_132,Kris Kitani,author
author_137,Trevor Darrell,author
author_147,Jia Li,author
author_160,Hong Wang,author
author_163,Xifeng Yan,author
author_175,Jun Chen,author
author_176,Xiaoqian Shen,author
author_177,Xiang Li,author
author_178,Mohamed Elhoseiny,author
author_182,Xingjian Du,author
author_191,Sergei Korotkikh,author
author_200,Griffin Adams,author
author_231,Jian Cui,author
author_256,Siyuan Huang,author
author_257,Rui Yang,author
author_258,Xiaoman Pan,author
author_259,Feng Luo,author
author_260,Shuang Qiu,author
author_261,Han Zhong,author
author_262,Dong Yu,author
author_263,Jianshu Chen,author
author_281,Noah D. Goodman,author
author_286,Jacob Andreas,author
author_295,Caiming Xiong,author
author_296,Ran Xu,author
author_350,Yu Liu,author
author_354,Ameya Prabhu,author
author_355,Zhipeng Cai,author
author_356,Puneet Dokania,author
author_357,Philip Torr,author
author_358,Vladlen Koltun,author
author_359,Ozan Sener,author
author_360,Xinchen Yan,author
author_361,Jimei Yang,author
author_362,Ersin Yumer,author
author_363,Yijie Guo,author
author_364,Honglak Lee,author
author_367,Chen Li,author
author_369,Ying Shan,author
author_370,Rohan Anil,author
author_371,Andrew M. Dai,author
author_372,Orhan Firat,author
author_373,Melvin Johnson,author
author_374,Dmitry Lepikhin,author
author_375,Alexandre Passos,author
author_376,Siamak Shakeri,author
author_377,Emanuel Taropa,author
author_378,Paige Bailey,author
author_379,Zhifeng Chen,author
author_380,Eric Chu,author
author_381,Jonathan H. Clark,author
author_382,Laurent El Shafey,author
author_383,Yanping Huang,author
author_384,Kathy Meier-Hellstern,author
author_385,Gaurav Mishra,author
author_386,Erica Moreira,author
author_387,Mark Omernick,author
author_388,Kevin Robinson,author
author_389,Sebastian Ruder,author
author_390,Yi Tay,author
author_391,Kefan Xiao,author
author_392,Yuanzhong Xu,author
author_393,Yujing Zhang,author
author_394,Gustavo Hernandez Abrego,author
author_395,Junwhan Ahn,author
author_396,Jacob Austin,author
author_397,Paul Barham,author
author_398,Jan Botha,author
author_399,James Bradbury,author
author_400,Siddhartha Brahma,author
author_401,Kevin Brooks,author
author_402,Michele Catasta,author
author_403,Yong Cheng,author
author_404,Colin Cherry,author
author_405,Christopher A. Choquette-Choo,author
author_406,Aakanksha Chowdhery,author
author_407,Clément Crepy,author
author_408,Shachi Dave,author
author_409,Mostafa Dehghani,author
author_410,Sunipa Dev,author
author_411,Jacob Devlin,author
author_412,Mark Díaz,author
author_413,Nan Du,author
author_414,Ethan Dyer,author
author_415,Vlad Feinberg,author
author_416,Fangxiaoyu Feng,author
author_417,Vlad Fienber,author
author_418,Markus Freitag,author
author_419,Xavier Garcia,author
author_420,Sebastian Gehrmann,author
author_421,Lucas Gonzalez,author
author_422,Guy Gur-Ari,author
author_423,Steven Hand,author
author_424,Hadi Hashemi,author
author_425,Le Hou,author
author_426,Joshua Howland,author
author_427,Andrea Hu,author
author_428,Jeffrey Hui,author
author_429,Jeremy Hurwitz,author
author_430,Michael Isard,author
author_431,Abe Ittycheriah,author
author_432,Wenhao Jia,author
author_433,Kathleen Kenealy,author
author_434,Maxim Krikun,author
author_435,Sneha Kudugunta,author
author_436,Chang Lan,author
author_437,Katherine Lee,author
author_438,Benjamin Lee,author
author_439,Eric Li,author
author_440,Music Li,author
author_441,Wei Li,author
author_442,YaGuang Li,author
author_443,Jian Li,author
author_444,Hyeontaek Lim,author
author_445,Hanzhao Lin,author
author_446,Zhongtao Liu,author
author_447,Frederick Liu,author
author_448,Marcello Maggioni,author
author_449,Aroma Mahendru,author
author_450,Joshua Maynez,author
author_451,Vedant Misra,author
author_452,Maysam Moussalem,author
author_453,Zachary Nado,author
author_454,John Nham,author
author_455,Eric Ni,author
author_456,Andrew Nystrom,author
author_457,Alicia Parrish,author
author_458,Marie Pellat,author
author_459,Martin Polacek,author
author_460,Alex Polozov,author
author_461,Reiner Pope,author
author_462,Siyuan Qiao,author
author_463,Emily Reif,author
author_464,Bryan Richter,author
author_465,Parker Riley,author
author_466,Alex Castro Ros,author
author_467,Aurko Roy,author
author_468,Brennan Saeta,author
author_469,Rajkumar Samuel,author
author_470,Renee Shelby,author
author_471,Ambrose Slone,author
author_472,Daniel Smilkov,author
author_473,David R. So,author
author_474,Daniel Sohn,author
author_475,Simon Tokumine,author
author_476,Dasha Valter,author
author_477,Vijay Vasudevan,author
author_478,Kiran Vodrahalli,author
author_479,Xuezhi Wang,author
author_480,Pidong Wang,author
author_481,Zirui Wang,author
author_482,Tao Wang,author
author_483,John Wieting,author
author_484,Yuhuai Wu,author
author_485,Kelvin Xu,author
author_486,Yunhan Xu,author
author_487,Linting Xue,author
author_488,Pengcheng Yin,author
author_489,Jiahui Yu,author
author_490,Qiao Zhang,author
author_491,Steven Zheng,author
author_492,Ce Zheng,author
author_493,Weikang Zhou,author
author_494,Denny Zhou,author
author_495,Slav Petrov,author
author_496,Yonghui Wu,author
author_499,Tianqi Liu,author
author_508,Percy Liang,author
author_514,Tao Ge,author
author_522,Wei-Ning Hsu,author
author_530,Jianfeng Gao,author
author_542,Yang Liu,author
author_545,Xuansong Xie,author
author_557,Tushar Khot,author
author_570,Jieyi Long,author
author_571,Yuxuan Xue,author
author_574,Gerard Pons-Moll,author
author_584,Dong Zhang,author
author_585,Shimin Li,author
author_586,Xin Zhang,author
author_587,Jun Zhan,author
author_588,Pengyu Wang,author
author_589,Yaqian Zhou,author
author_590,Xipeng Qiu,author
author_602,Zhe Gan,author
author_604,Lijuan Wang,author
author_610,Stefano Ermon,author
author_619,Weixi Feng,author
author_620,Tsu-Jui Fu,author
author_621,Varun Jampani,author
author_624,Sugato Basu,author
author_625,William Yang Wang,author
author_629,Chenchen Zhu,author
author_630,Fanyi Xiao,author
author_631,Ping Luo,author
author_632,Saining Xie,author
author_638,Peter West,author
author_639,Chris Quirk,author
author_640,Michel Galley,author
author_641,Yejin Choi,author
author_647,Jiang Bian,author
author_676,Yuqi Zhang,author
author_677,Min Zhang,author
author_679,Ziyi Yang,author
author_680,Chenguang Zhu,author
author_681,Michael Zeng,author
author_682,Mohit Bansal,author
author_690,Shenghao Li,author
author_708,Pengfei Liu,author
author_718,Yutaka Matsuo,author
author_720,Shixiang Shane Gu,author
author_722,Ronak Pradeep,author
author_723,Kai Hui,author
author_724,Jai Gupta,author
author_725,Adam D. Lelkes,author
author_726,Honglei Zhuang,author
author_727,Jimmy Lin,author
author_728,Donald Metzler,author
author_729,Vinh Q. Tran,author
author_742,Ming-Wei Chang,author
author_786,Volodymyr Kuleshov,author
author_793,Zhiyuan Liu,author
author_794,Maosong Sun,author
author_801,Alisa Liu,author
author_802,Noah A. Smith,author
author_822,Wangchunshu Zhou,author
author_839,Yi Yang,author
author_870,Asli Celikyilmaz,author
author_881,Lidong Bing,author
author_890,Guang Chen,author
author_892,Jun Wang,author
author_898,Shuohang Wang,author
author_905,Forrest Iandola,author
author_908,Qiang Liu,author
author_909,Zhangyang Wang,author
author_910,Vikas Chandra,author
author_914,Song-Chun Zhu,author
author_917,Eric Wallace,author
author_920,Hao Liu,author
author_921,Pieter Abbeel,author
author_944,Zhen Yang,author
author_952,Ruibo Liu,author
author_955,Ge Zhang,author
author_956,Diyi Yang,author
author_962,Samuel R. Bowman,author
author_967,Jie Fu,author
author_1014,Basil Mustafa,author
author_1050,Liwei Jiang,author
author_1051,Faeze Brahman,author
author_1052,Ximing Lu,author
author_1061,Jianwei Yang,author
author_1068,Rui Zhao,author
author_1075,Mike Zheng Shou,author
author_1090,Nanyun Peng,author
author_1121,Xihui Liu,author
author_1131,Xizhou Zhu,author
author_1133,Hao Tian,author
author_1139,Lewei Lu,author
author_1141,Yu Qiao,author
author_1143,Jifeng Dai,author
author_1160,Yunhe Wang,author
author_1161,Chang Xu,author
author_1163,Chao Xu,author
author_1170,Qian Wang,author
author_1181,Yukun Huang,author
author_1192,Min Ma,author
author_1193,Yuma Koizumi,author
author_1194,Shigeki Karita,author
author_1195,Heiga Zen,author
author_1196,Jason Riesa,author
author_1197,Haruko Ishikawa,author
author_1198,Michiel Bacchiani,author
author_1231,Aaron Courville,author
author_1233,Rishabh Agarwal,author
author_1240,Ryan Liu,author
author_1242,Lijie Fan,author
author_1243,Dilip Krishnan,author
author_1244,Phillip Isola,author
author_1245,Dina Katabi,author
author_1246,Yonglong Tian,author
author_1252,Hongwen Zhang,author
author_1268,Rui Wang,author
author_1269,Junliang Guo,author
author_1274,Chandra Bhagavatula,author
author_1276,Jena D. Hwang,author
author_1277,Xiang Lorraine Li,author
author_1282,Gabriel Nicholas,author
author_1283,Aliya Bhatia,author
author_1284,Yanyu Li,author
author_1288,Yanzhi Wang,author
author_1289,Sergey Tulyakov,author
author_1290,Jian Ren,author
author_1296,Weiyu Li,author
author_1297,Xuelin Chen,author
author_1308,Menghan Xia,author
author_1311,Yingqing He,author
author_1315,Xintao Wang,author
author_1327,Chenyang Qi,author
author_1332,Yue Wang,author
author_1346,Hao Li,author
author_1353,Chuang Gan,author
author_1358,Arindam Mitra,author
author_1362,Ahmed Awadallah,author
author_1375,Zhen Qin,author
author_1378,Michael Bendersky,author
author_1381,Ke Li,author
author_1384,Weijia Shi,author
author_1386,Alane Suhr,author
author_1389,Hannaneh Hajishirzi,author
author_1404,Lionel Wong,author
author_1408,Joshua B. Tenenbaum,author
author_1411,Wenda Li,author
author_1412,Adrian Weller,author
author_1416,Matteo Pagliardini,author
author_1417,Daniele Paliotta,author
author_1418,Martin Jaggi,author
author_1419,François Fleuret,author
author_1437,Hongsheng Li,author
author_1440,Jindong Gu,author
author_1442,Volker Tresp,author
author_1452,Yufei Xu,author
author_1454,Jing Zhang,author
author_1455,Dacheng Tao,author
author_1459,Xiao Han,author
author_1461,Kai Han,author
author_1462,Jiankang Deng,author
author_1466,Seung-Bin Kim,author
author_1467,Sang-Hoon Lee,author
author_1468,Seong-Whan Lee,author
author_1481,Zechun Liu,author
author_1485,Raghuraman Krishnamoorthi,author
author_1496,Stella Biderman,author
author_1518,Dingkang Liang,author
author_1523,Xiang Bai,author
author_1529,Yew Ken Chia,author
author_1531,Deepanway Ghosal,author
author_1532,Soujanya Poria,author
author_1562,Xu Sun,author
author_1577,Jun Zhang,author
author_1595,Yue Zhang,author
author_1597,Yizhong Wang,author
author_1600,Jack Hessel,author
author_1622,Yuanzhen Li,author
author_1623,Michael Rubinstein,author
author_1632,Dongdong Chen,author
author_1633,Jianmin Bao,author
author_1636,Lu Yuan,author
author_1657,Aleksander Holynski,author
author_1666,Jiachen Li,author
author_1673,Manel Baradad,author
author_1674,Forrester Cole,author
author_1675,Antonio Torralba,author
author_1676,William T. Freeman,author
author_1694,Yanghao Li,author
author_1731,Mengdi Xu,author
author_1734,Ding Zhao,author
author_1754,Tao Ye,author
author_1776,Zeju Qiu,author
author_1777,Weiyang Liu,author
author_1778,Haiwen Feng,author
author_1779,Yao Feng,author
author_1780,Zhen Liu,author
author_1781,Dan Zhang,author
author_1782,Bernhard Schölkopf,author
author_1813,Ziwei Liu,author
author_1816,Jian Liang,author
author_1834,Peng Zhang,author
author_1835,Yuxiao Dong,author
author_1836,Jie Tang,author
author_1839,Neil Houlsby,author
author_1841,Hexiang Hu,author
author_1868,Dian Yu,author
author_1875,Aaron Gokaslan,author
author_1879,Timo Bolkart,author
author_1880,Tianye Li,author
author_1881,Michael J. Black,author
author_1909,Difei Gao,author
author_1912,Kevin Qinghong Lin,author
author_1913,Joya Chen,author
author_1919,Yang Yang,author
author_1933,Jian Yang,author
author_1935,Xiu Li,author
author_1971,Nikhil Singh,author
author_1989,Xiaofeng Yang,author
author_1999,Yang Chen,author
author_2000,Yi Luan,author
author_2001,Haitian Sun,author
author_2002,Soravit Changpinyo,author
author_2003,Alan Ritter,author
author_2030,Kai Zhang,author
author_2032,Wenhu Chen,author
author_2041,Zilong Lin,author
author_2042,Xiaojing Liao,author
author_2043,XiaoFeng Wang,author
author_2047,Shuo Chen,author
author_2055,Stefan Wermter,author
author_2060,Lukas Glaszner,author
author_2061,Martin Zach,author
author_2064,Jordi Pons,author
author_2079,Yuxiang Yang,author
author_2080,Guanya Shi,author
author_2081,Xiangyun Meng,author
author_2082,Wenhao Yu,author
author_2083,Tingnan Zhang,author
author_2084,Jie Tan,author
author_2085,Byron Boots,author
author_2089,Yuanzhi Li,author
author_2090,Sébastien Bubeck,author
author_2091,Ronen Eldan,author
author_2092,Allie Del Giorno,author
author_2093,Suriya Gunasekar,author
author_2094,Yin Tat Lee,author
author_2104,Dan Xu,author
author_2109,Disha Shrivastava,author
author_2110,Denis Kocetkov,author
author_2111,Harm de Vries,author
author_2112,Dzmitry Bahdanau,author
author_2113,Torsten Scholak,author
author_2115,Feng Liu,author
author_2131,Zhihong Shao,author
author_2154,Zheng Zhang,author
author_2157,Gabriel Grand,author
author_2158,Alexander K. Lew,author
author_2159,Vikash K. Mansinghka,author
author_2164,Alessandro Sordoni,author
author_2167,Arian Hosseini,author
author_2176,Di Wang,author
author_2182,Esin Durmus,author
author_2195,Muzammal Naseer,author
author_2210,Yaojie Lu,author
author_2213,Hongyu Lin,author
author_2214,Fei Huang,author
author_2216,Xianpei Han,author
author_2238,Xin Chen,author
author_2240,Jingyi Yu,author
author_2242,Tao Chen,author
author_2246,Chaoning Zhang,author
author_2247,Dongshen Han,author
author_2248,Jung Uk Kim,author
author_2249,Sung-Ho Bae,author
author_2250,Seungkyu Lee,author
author_2251,Choong Seon Hong,author
author_2270,Furong Huang,author
author_2275,Martial Hebert,author
author_2280,Peng Gao,author
author_2284,Yuki Noguchi,author
author_2285,Tatsuya Matsushima,author
author_2317,Qun Liu,author
author_2325,Xiaodong Gu,author
author_2328,Xiaochuang Han,author
author_2329,Daniel Simig,author
author_2330,Todor Mihaylov,author
author_2331,Yulia Tsvetkov,author
author_2332,Tianlu Wang,author
author_2373,Karina Nguyen,author
author_2375,Nicholas Schiefer,author
author_2378,Carol Chen,author
author_2379,Zac Hatfield-Dodds,author
author_2380,Danny Hernandez,author
author_2381,Nicholas Joseph,author
author_2383,Sam McCandlish,author
author_2387,Jared Kaplan,author
author_2409,Zexiang Xu,author
author_2419,Pei Cheng,author
author_2420,Bin Fu,author
author_2422,Priyanka Agrawal,author
author_2428,Han Zhang,author
author_2432,Changyi Lin,author
author_2440,Haihao Shen,author
author_2476,Stan Sclaroff,author
author_2477,Kate Saenko,author
author_2484,Qihang Yu,author
author_2486,Liang-Chieh Chen,author
author_2496,Yi Xu,author
author_2523,Chelsea Finn,author
author_2543,Nanning Zheng,author
author_2546,Navonil Majumder,author
author_2561,Fei Xia,author
author_2572,Ruihang Chu,author
author_2585,Yueh-Hua Wu,author
author_2586,Masashi Hamaya,author
author_2587,Yao Mu,author
author_2588,Qinglong Zhang,author
author_2589,Mengkang Hu,author
author_2590,Wenhai Wang,author
author_2591,Mingyu Ding,author
author_2592,Jun Jin,author
author_2593,Bin Wang,author
author_2608,Da Pan,author
author_2611,Weipeng Chen,author
author_2612,Zenan Zhou,author
author_2613,Guosheng Dong,author
author_2614,Bin Cui,author
author_2615,Wentao Zhang,author
author_2616,Yuan Gong,author
author_2617,Sameer Khurana,author
author_2618,Leonid Karlinsky,author
author_2619,James Glass,author
author_2625,Jan-Philipp Fränken,author
author_2630,Waseem AlShikh,author
author_2631,Manhal Daaboul,author
author_2632,Kirk Goddard,author
author_2633,Brock Imel,author
author_2634,Kiran Kamble,author
