Source,Target
paper_11,organization_17
paper_11,organization_18
paper_72,organization_119
paper_72,organization_120
paper_72,organization_72
paper_73,organization_23
paper_73,organization_121
paper_73,organization_122
paper_75,organization_76
paper_89,organization_145
paper_92,organization_150
paper_92,organization_151
paper_100,organization_156
paper_100,organization_108
paper_100,organization_162
paper_117,organization_194
paper_117,organization_15
paper_202,organization_292
paper_202,organization_293
paper_253,organization_347
paper_253,organization_348
paper_253,organization_349
paper_253,organization_273
paper_253,organization_350
paper_262,organization_364
paper_302,organization_206
paper_302,organization_15
paper_324,organization_433
paper_324,organization_434
paper_324,organization_435
paper_324,organization_196
paper_324,organization_344
paper_324,organization_345
paper_346,organization_434
paper_346,organization_313
paper_368,organization_9
paper_368,organization_15
paper_368,organization_125
paper_376,organization_479
paper_389,organization_435
paper_389,organization_495
paper_389,organization_496
paper_428,organization_193
paper_428,organization_15
paper_440,organization_156
paper_440,organization_41
paper_457,organization_15
paper_457,organization_36
paper_496,organization_27
paper_496,organization_617
paper_498,organization_62
paper_498,organization_618
paper_498,organization_451
paper_503,organization_107
paper_503,organization_610
paper_537,organization_300
paper_537,organization_64
paper_553,organization_681
paper_553,organization_124
paper_556,organization_250
paper_561,organization_63
paper_575,organization_15
paper_583,organization_48
paper_590,organization_206
paper_594,organization_731
paper_594,organization_732
paper_594,organization_733
paper_594,organization_734
paper_597,organization_465
paper_597,organization_645
paper_597,organization_200
paper_597,organization_738
paper_633,organization_768
paper_633,organization_130
paper_649,organization_793
paper_656,organization_802
paper_656,organization_594
paper_656,organization_299
paper_656,organization_220
paper_656,organization_803
paper_669,organization_51
paper_669,organization_811
paper_698,organization_50
paper_698,organization_156
paper_698,organization_135
paper_716,organization_124
paper_743,organization_876
paper_743,organization_117
paper_744,organization_877
paper_744,organization_878
paper_744,organization_879
paper_756,organization_621
paper_756,organization_52
paper_756,organization_64
paper_762,organization_119
paper_762,organization_895
paper_762,organization_896
paper_766,organization_10
paper_799,organization_119
paper_807,organization_584
paper_843,organization_621
paper_862,organization_226
paper_912,organization_1053
paper_916,organization_1055
paper_916,organization_1056
paper_917,organization_1057
paper_917,organization_221
paper_923,organization_1060
paper_923,organization_313
paper_971,organization_30
paper_971,organization_87
paper_971,organization_716
paper_981,organization_11
paper_996,organization_157
paper_996,organization_263
paper_999,organization_48
paper_999,organization_36
paper_1034,organization_1152
paper_1034,organization_194
paper_1034,organization_890
paper_1042,organization_26
paper_1042,organization_451
paper_1042,organization_532
paper_1042,organization_1158
paper_1051,organization_154
paper_1051,organization_46
paper_1051,organization_151
paper_1051,organization_28
paper_1051,organization_226
paper_1051,organization_451
paper_1066,organization_876
paper_1066,organization_763
paper_1066,organization_28
paper_1066,organization_1175
paper_1066,organization_186
paper_1066,organization_739
paper_1077,organization_6
paper_1077,organization_1183
paper_1077,organization_14
paper_1077,organization_122
paper_1087,organization_186
paper_1087,organization_532
paper_1133,organization_15
paper_1133,organization_36
paper_1143,organization_1234
paper_1143,organization_451
paper_1143,organization_551
paper_1146,organization_15
paper_1163,organization_156
paper_1163,organization_312
paper_1163,organization_14
paper_1163,organization_108
paper_1231,organization_26
paper_1231,organization_64
paper_1256,organization_1328
paper_1256,organization_656
paper_1256,organization_551
paper_1268,organization_443
paper_1268,organization_1342
paper_1268,organization_1343
paper_1268,organization_288
paper_1268,organization_226
paper_1268,organization_967
paper_1275,organization_1058
paper_1275,organization_599
paper_1275,organization_118
paper_1283,organization_123
paper_1283,organization_47
paper_1283,organization_890
paper_1283,organization_26
paper_1283,organization_226
paper_1283,organization_11
paper_1283,organization_124
paper_1305,organization_107
paper_1305,organization_15
paper_1314,organization_108
paper_1314,organization_1383
paper_1336,organization_151
paper_1336,organization_48
paper_1336,organization_28
paper_1336,organization_185
paper_1336,organization_186
paper_1341,organization_1401
paper_1376,organization_1374
paper_1376,organization_1425
paper_1376,organization_1426
paper_1376,organization_1427
paper_1376,organization_1428
paper_1376,organization_1384
paper_1406,organization_156
paper_1406,organization_55
paper_1412,organization_623
paper_1412,organization_15
paper_1434,organization_156
paper_1434,organization_135
paper_1460,organization_1501
paper_1462,organization_1502
paper_1462,organization_1503
paper_1470,organization_1505
paper_1470,organization_1506
paper_1470,organization_1507
paper_1470,organization_1508
paper_1470,organization_50
paper_1470,organization_1509
paper_1476,organization_1040
paper_1476,organization_497
paper_1483,organization_250
paper_1483,organization_120
paper_1483,organization_15
paper_1484,organization_27
paper_1484,organization_275
paper_1484,organization_1533
paper_1484,organization_1104
paper_1492,organization_151
paper_1508,organization_1546
paper_1508,organization_116
paper_1524,organization_35
paper_1524,organization_1554
paper_1525,organization_335
paper_1586,organization_180
paper_1586,organization_91
paper_1592,organization_50
paper_1592,organization_156
paper_1592,organization_15
paper_1608,organization_50
paper_1628,organization_36
paper_1648,organization_263
paper_1664,organization_1644
paper_1664,organization_116
paper_1682,organization_156
paper_1682,organization_108
paper_1684,organization_26
paper_1684,organization_447
paper_1710,organization_1686
paper_1710,organization_1687
paper_1710,organization_1688
paper_1710,organization_1689
paper_1710,organization_1690
paper_1740,organization_35
paper_1740,organization_1712
paper_1740,organization_50
paper_1740,organization_120
paper_1740,organization_1713
paper_1761,organization_1741
paper_1761,organization_1742
paper_1762,organization_96
paper_1762,organization_1743
paper_1762,organization_127
paper_1785,organization_1756
paper_1785,organization_202
paper_1786,organization_50
paper_1804,organization_1765
paper_1804,organization_1766
paper_1839,organization_135
paper_1839,organization_1134
paper_1839,organization_213
paper_1839,organization_1788
paper_1839,organization_156
paper_1841,organization_48
paper_1841,organization_471
paper_1859,organization_1817
paper_1859,organization_1818
paper_1866,organization_1302
paper_1893,organization_11
paper_1897,organization_1820
paper_1897,organization_910
paper_1897,organization_1821
paper_1897,organization_1384
paper_1897,organization_678
paper_1900,organization_278
paper_1900,organization_1846
paper_1908,organization_322
paper_1908,organization_1851
paper_1908,organization_326
paper_1951,organization_1896
paper_1951,organization_621
paper_1956,organization_1899
paper_1956,organization_294
paper_1956,organization_1900
paper_1956,organization_1901
paper_1956,organization_358
paper_1956,organization_766
paper_1956,organization_1902
paper_1956,organization_1903
paper_1956,organization_976
paper_1956,organization_470
paper_1956,organization_437
paper_1962,organization_154
paper_1962,organization_63
paper_1996,organization_322
paper_1996,organization_646
paper_1996,organization_1935
paper_2007,organization_1944
paper_2007,organization_1945
paper_2007,organization_1946
paper_2009,organization_278
paper_2009,organization_260
paper_2011,organization_1949
paper_2011,organization_1950
paper_2011,organization_1951
paper_2041,organization_1941
paper_2050,organization_1973
paper_2066,organization_1987
paper_2066,organization_64
paper_2066,organization_745
paper_2066,organization_226
paper_2066,organization_638
paper_2075,organization_116
paper_2075,organization_151
paper_2075,organization_327
paper_2092,organization_2001
paper_2092,organization_46
paper_2092,organization_151
paper_2092,organization_451
paper_2117,organization_1722
paper_2117,organization_26
paper_2117,organization_638
paper_2117,organization_600
paper_2117,organization_2015
paper_2117,organization_451
paper_2147,organization_1663
paper_2147,organization_120
paper_2147,organization_288
paper_2147,organization_354
paper_2147,organization_2037
paper_2155,organization_2043
paper_2155,organization_10
paper_2155,organization_539
paper_2171,organization_2055
paper_2171,organization_987
paper_2171,organization_2056
paper_2171,organization_769
paper_2171,organization_2057
paper_2171,organization_2058
paper_2171,organization_2059
paper_2171,organization_136
paper_2171,organization_117
paper_2171,organization_768
paper_2171,organization_267
paper_2171,organization_668
paper_2171,organization_2060
paper_2171,organization_810
paper_2171,organization_26
paper_2171,organization_2
paper_2171,organization_2061
paper_2171,organization_2062
paper_2171,organization_276
paper_2171,organization_2063
paper_2171,organization_2064
paper_2171,organization_2065
paper_2171,organization_2066
paper_2195,organization_35
paper_2195,organization_9
paper_2195,organization_36
paper_2206,organization_250
paper_2206,organization_212
paper_2206,organization_2090
paper_2215,organization_2103
paper_2215,organization_2104
paper_2215,organization_2105
paper_2219,organization_471
paper_2229,organization_1023
paper_2229,organization_2115
paper_2229,organization_717
paper_2229,organization_2116
paper_2229,organization_221
paper_2229,organization_584
