Id,paper_id,publish_date,Label,type
paper_7,2405.17665,2024-05-27,"Improving Robotic Arms through Natural Language Processing, Computer Vision, and Edge Computing",paper
paper_11,2211.10624,2022-11-19,A Unified Model for Video Understanding and Knowledge Embedding with Heterogeneous Knowledge Graph Dataset,paper
paper_39,2408.03553,2024-08-07,Dirichlet forms of diffusion processes on Thoma simplex,paper
paper_54,2402.10207,2024-02-15,Rewards-in-Context: Multi-objective Alignment of Foundation Models with Dynamic Preference Adjustment,paper
paper_72,2305.09253,2023-05-16,Online Continual Learning Without the Storage Constraint,paper
paper_73,1612.00814,2016-12-01,Perspective Transformer Nets: Learning Single-View 3D Object Reconstruction without 3D Supervision,paper
paper_75,2305.10403,2023-05-17,PaLM 2 Technical Report,paper
paper_89,2305.08291,2023-05-15,Large Language Model Guided Tree-of-Thought,paper
paper_92,2305.11,2023-05-18,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities,paper
paper_100,2203.10133,2022-03-18,Probing Factually Grounded Content Transfer with Factual Ablation,paper
paper_109,2410.04529,2024-10-06,In-Place Panoptic Radiance Field Segmentation with Perceptual Prior for 3D Scene Understanding,paper
paper_117,2305.11841,2023-05-19,How Does Generative Retrieval Scale to Millions of Passages?,paper
paper_202,2408.06227,2024-08-12,FLEURS-R: A Restored Multilingual Speech Corpus for Generation Tasks,paper
paper_223,2306.07377,2023-06-12,Lost in Translation: Large Language Models in Non-English Content Analysis,paper
paper_253,2306.0116,2023-06-01,Faster Causal Attention Over Large Sequences Through Sparse Flash Attention,paper
paper_262,2401.12992,2024-01-17,TranSentence: Speech-to-speech Translation via Language-agnostic Sentence-level Speech Encoding without Language-parallel Data,paper
paper_302,2306.05428,2023-06-08,Background Prompting for Improved Object Depth,paper
paper_324,2306.0728,2023-06-12,Controlling Text-to-Image Diffusion by Orthogonal Finetuning,paper
paper_346,2306.07437,2023-06-12,Instant Multi-View Head Capture through Learnable Registration,paper
paper_368,2302.11713,2023-02-23,Can Pre-trained Vision and Language Models Answer Visual Information-Seeking Questions?,paper
paper_376,2401.03315,2024-01-06,Malla: Demystifying Real-world Large Language Model Integrated Malicious Services,paper
paper_380,2501.07376,2025-01-13,Bigger Isn't Always Better: Towards a General Prior for Medical Image Reconstruction,paper
paper_389,2306.10998,2023-06-19,RepoFusion: Training Code Models to Understand Your Repository,paper
paper_400,2306.12672,2023-06-22,From Word Models to World Models: Translating from Natural Language to the Probabilistic Language of Thought,paper
paper_420,2306.14289,2023-06-25,Faster Segment Anything: Towards Lightweight SAM for Mobile Applications,paper
paper_428,2112.00359,2021-12-01,Tool as Embodiment for Recursive Manipulation,paper
paper_440,2306.15091,2023-06-26,Understanding In-Context Learning via Supportive Pretraining Data,paper
paper_457,2306.16793,2023-06-29,Benchmarking Large Language Model Capabilities for Conditional Generation,paper
paper_496,2307.02484,2023-07-05,Elastic Decision Transformer,paper
paper_498,2305.15021,2023-05-24,EmbodiedGPT: Vision-Language Pre-Training via Embodied Chain of Thought,paper
paper_503,2307.03183,2023-07-06,Whisper-AT: Noise-Robust Automatic Speech Recognizers are Also Strong General Audio Event Taggers,paper
paper_506,2307.03692,2023-07-05,Becoming self-instruct: introducing early stopping criteria for minimal instruct tuning,paper
paper_537,2406.11816,2024-06-17,VideoLLM-online: Online Video Large Language Model for Streaming Video,paper
paper_553,2307.06962,2023-07-13,Copy Is All You Need,paper
paper_556,2305.09731,2023-05-16,"What In-Context Learning ""Learns"" In-Context: Disentangling Task Recognition and Task Learning",paper
paper_561,2405.17104,2024-05-27,LLM-Optic: Unveiling the Capabilities of Large Language Models for Universal Visual Grounding,paper
paper_575,2307.0932,2023-07-18,Biomaker CA: a Biome Maker project using Cellular Automata,paper
paper_583,2307.10168,2023-07-19,LLMs as Workers in Human-Computational Algorithms? Replicating Crowdsourcing Pipelines with LLMs,paper
paper_590,2407.18941,2024-07-10,LEMoN: Label Error Detection using Multimodal Neighbors,paper
paper_594,2307.11526,2023-07-21,CopyRNeRF: Protecting the CopyRight of Neural Radiance Fields,paper
paper_597,2410.03878,2024-10-04,SPARTUN3D: Situated Spatial Understanding of 3D World in Large Language Models,paper
paper_602,2307.11768,2023-07-17,Question Decomposition Improves the Faithfulness of Model-Generated Reasoning,paper
paper_633,2410.13344,2024-10-17,Cerberus: Efficient Inference with Adaptive Parallel Decoding and Sequential Knowledge Enhancement,paper
paper_649,2406.1188,2024-06-11,Knowledge Return Oriented Prompting (KROP),paper
paper_656,2308.00113,2023-07-26,Three Bricks to Consolidate Watermarks for Large Language Models,paper
paper_669,2308.01904,2023-08-03,DETR Doesn't Need Multi-Scale or Locality Design,paper
paper_698,2308.0443,2023-08-08,SILO Language Models: Isolating Legal Risk In a Nonparametric Datastore,paper
paper_701,2308.04623,2023-08-08,Accelerating LLM Inference with Staged Speculative Decoding,paper
paper_716,2308.06721,2023-08-13,IP-Adapter: Text Compatible Image Prompt Adapter for Text-to-Image Diffusion Models,paper
paper_743,2409.18943,2024-09-27,Ruler: A Model-Agnostic Method to Control Generated Length for Large Language Models,paper
paper_744,2308.16149,2023-08-30,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,paper
paper_756,2405.18009,2024-05-28,Exploring Context Window of Large Language Models via Decomposed Positional Vectors,paper
paper_762,2309.01826,2023-09-04,One Wide Feedforward is All You Need,paper
paper_766,2309.00754,2023-09-01,Efficient RLHF: Reducing the Memory Usage of PPO,paper
paper_799,2309.04354,2023-09-08,Mobile V-MoEs: Scaling Down Vision Transformers via Sparse Mixture-of-Experts,paper
paper_807,2309.05516,2023-09-11,Optimize Weight Rounding via Signed Gradient Descent for the Quantization of LLMs,paper
paper_843,2309.10305,2023-09-19,Baichuan 2: Open Large-scale Language Models,paper
paper_859,2309.10706,2023-09-19,OpenBA: An Open-sourced 15B Bilingual Asymmetric seq2seq Model Pre-trained from Scratch,paper
paper_862,2309.11497,2023-09-20,FreeU: Free Lunch in Diffusion U-Net,paper
paper_912,2309.16534,2023-09-28,MotionLM: Multi-Agent Motion Forecasting as Language Modeling,paper
paper_916,2309.16235,2023-09-28,Language models in molecular discovery,paper
paper_917,2403.08094,2024-03-12,Task and Motion Planning in Hierarchical 3D Scene Graphs,paper
paper_923,2310.00996,2023-10-02,ARN: Analogical Reasoning on Narratives,paper
paper_968,1810.04125,2018-10-09,Matrix-free construction of HSS representation using adaptive randomized sampling,paper
paper_971,2108.07935,2021-08-18,Learning Implicit User Profiles for Personalized Retrieval-Based Chatbot,paper
paper_981,2310.12773,2023-10-19,Safe RLHF: Safe Reinforcement Learning from Human Feedback,paper
paper_996,2310.13127,2023-10-19,Auto-Instruct: Automatic Instruction Generation and Ranking for Black-Box Language Models,paper
paper_999,2310.13065,2023-10-19,Creative Robot Tool Use with Large Language Models,paper
paper_1034,2412.03568,2024-12-04,The Matrix: Infinite-Horizon World Generation with Real-Time Moving Control,paper
paper_1042,2310.17796,2023-10-26,ControlLLM: Augment Language Models with Tools by Searching on Graphs,paper
paper_1051,2312.15011,2023-12-22,Gemini vs GPT-4V: A Preliminary Comparison and Combination of Vision-Language Models Through Qualitative Cases,paper
paper_1066,2310.207,2023-10-31,SEINE: Short-to-Long Video Diffusion Model for Generative Transition and Prediction,paper
paper_1077,2311.00047,2023-10-31,Grounding Visual Illusions in Language: Do Vision-Language Models Perceive Illusions Like Humans?,paper
paper_1087,2308.0284,2023-08-05,Learning Unified Decompositional and Compositional NeRF for Editable Novel View Synthesis,paper
paper_1133,2311.05698,2023-11-09,Mirasol3B: A Multimodal Autoregressive model for time-aligned and contextual modalities,paper
paper_1143,2311.07575,2023-11-13,"SPHINX: The Joint Mixing of Weights, Tasks, and Visual Embeddings for Multi-modal Large Language Models",paper
paper_1146,2311.06697,2023-11-12,Trusted Source Alignment in Large Language Models,paper
paper_1163,2311.08469,2023-11-14,UNcommonsense Reasoning: Abductive Reasoning about Uncommon Situations,paper
paper_1231,2312.00849,2023-12-01,RLHF-V: Towards Trustworthy MLLMs via Behavior Alignment from Fine-grained Correctional Human Feedback,paper
paper_1256,2312.01407,2023-12-03,VideoRF: Rendering Dynamic Radiance Fields as 2D Feature Video Streams,paper
paper_1268,2403.00467,2024-03-01,When ControlNet Meets Inexplicit Masks: A Case Study of ControlNet on its Contour-following Ability,paper
paper_1275,2312.02772,2023-12-05,FG-MDM: Towards Zero-Shot Human Motion Generation via ChatGPT-Refined Descriptions,paper
paper_1283,2312.03641,2023-12-06,MotionCtrl: A Unified and Flexible Motion Controller for Video Generation,paper
paper_1305,2312.04567,2023-12-07,Scaling Laws of Synthetic Images for Model Training ... for Now,paper
paper_1314,2110.07178,2021-10-14,Symbolic Knowledge Distillation: from General Language Models to Commonsense Models,paper
paper_1336,2312.07,2023-12-12,Alignment for Honesty,paper
paper_1341,2312.06742,2023-12-11,Honeybee: Locality-enhanced Projector for Multimodal LLM,paper
paper_1373,2312.09767,2023-12-15,DreamTalk: When Emotional Talking Head Generation Meets Diffusion Probabilistic Models,paper
paper_1376,2312.09608,2023-12-15,Faster Diffusion: Rethinking the Role of the Encoder for Diffusion Model Inference,paper
paper_1382,2212.05895,2022-12-12,Diff-Font: Diffusion Model for Robust One-Shot Font Generation,paper
paper_1406,2312.11537,2023-12-15,FastSR-NeRF: Improving NeRF Efficiency on Consumer Devices with A Simple Super-Resolution Pipeline,paper
paper_1412,2401.06129,2024-01-11,Distilling Vision-Language Models on Millions of Videos,paper
paper_1434,2312.13401,2023-12-20,Time is Encoded in the Weights of Finetuned Language Models,paper
