Source,Target
paper_7,author_25
paper_7,author_26
paper_7,author_27
paper_7,author_28
paper_7,author_29
paper_7,author_30
paper_11,author_46
paper_11,author_47
paper_11,author_48
paper_11,author_49
paper_11,author_50
paper_11,author_51
paper_11,author_52
paper_11,author_53
paper_11,author_54
paper_11,author_55
paper_39,author_191
paper_54,author_257
paper_54,author_258
paper_54,author_259
paper_54,author_260
paper_54,author_261
paper_54,author_262
paper_54,author_263
paper_72,author_354
paper_72,author_355
paper_72,author_356
paper_72,author_357
paper_72,author_358
paper_72,author_359
paper_73,author_360
paper_73,author_361
paper_73,author_362
paper_73,author_363
paper_73,author_364
paper_75,author_370
paper_75,author_371
paper_75,author_372
paper_75,author_373
paper_75,author_374
paper_75,author_375
paper_75,author_376
paper_75,author_377
paper_75,author_378
paper_75,author_379
paper_75,author_380
paper_75,author_381
paper_75,author_382
paper_75,author_383
paper_75,author_384
paper_75,author_385
paper_75,author_386
paper_75,author_387
paper_75,author_388
paper_75,author_389
paper_75,author_390
paper_75,author_391
paper_75,author_392
paper_75,author_393
paper_75,author_394
paper_75,author_395
paper_75,author_396
paper_75,author_397
paper_75,author_398
paper_75,author_399
paper_75,author_400
paper_75,author_401
paper_75,author_402
paper_75,author_403
paper_75,author_404
paper_75,author_405
paper_75,author_406
paper_75,author_407
paper_75,author_408
paper_75,author_409
paper_75,author_410
paper_75,author_411
paper_75,author_412
paper_75,author_413
paper_75,author_414
paper_75,author_415
paper_75,author_416
paper_75,author_417
paper_75,author_418
paper_75,author_419
paper_75,author_420
paper_75,author_421
paper_75,author_422
paper_75,author_423
paper_75,author_424
paper_75,author_425
paper_75,author_426
paper_75,author_427
paper_75,author_428
paper_75,author_429
paper_75,author_430
paper_75,author_431
paper_75,author_95
paper_75,author_432
paper_75,author_433
paper_75,author_434
paper_75,author_435
paper_75,author_436
paper_75,author_437
paper_75,author_438
paper_75,author_439
paper_75,author_440
paper_75,author_441
paper_75,author_442
paper_75,author_443
paper_75,author_444
paper_75,author_445
paper_75,author_446
paper_75,author_447
paper_75,author_448
paper_75,author_449
paper_75,author_450
paper_75,author_451
paper_75,author_452
paper_75,author_453
paper_75,author_454
paper_75,author_455
paper_75,author_456
paper_75,author_457
paper_75,author_458
paper_75,author_459
paper_75,author_460
paper_75,author_461
paper_75,author_462
paper_75,author_463
paper_75,author_464
paper_75,author_465
paper_75,author_466
paper_75,author_467
paper_75,author_468
paper_75,author_469
paper_75,author_470
paper_75,author_471
paper_75,author_472
paper_75,author_473
paper_75,author_474
paper_75,author_475
paper_75,author_476
paper_75,author_477
paper_75,author_478
paper_75,author_479
paper_75,author_480
paper_75,author_481
paper_75,author_482
paper_75,author_483
paper_75,author_484
paper_75,author_485
paper_75,author_486
paper_75,author_487
paper_75,author_488
paper_75,author_489
paper_75,author_490
paper_75,author_491
paper_75,author_492
paper_75,author_493
paper_75,author_494
paper_75,author_495
paper_75,author_496
paper_89,author_570
paper_92,author_584
paper_92,author_585
paper_92,author_586
paper_92,author_587
paper_92,author_588
paper_92,author_589
paper_92,author_590
paper_100,author_638
paper_100,author_639
paper_100,author_640
paper_100,author_641
paper_109,author_690
paper_117,author_722
paper_117,author_723
paper_117,author_724
paper_117,author_725
paper_117,author_726
paper_117,author_727
paper_117,author_728
paper_117,author_729
paper_202,author_1192
paper_202,author_1193
paper_202,author_1194
paper_202,author_1195
paper_202,author_1196
paper_202,author_1197
paper_202,author_1198
paper_223,author_1282
paper_223,author_1283
paper_253,author_1416
paper_253,author_1417
