node,weighted_degree,betweenness_centrality,pagerank,org_name
organization_26,492,0.04057237719101589,0.010298953155225563,Tsinghua University
organization_35,444,0.03963989215566706,0.008796445732427762,Stanford University
organization_48,317,0.04148286158940365,0.00671579103259407,Carnegie Mellon University
organization_11,249,0.015309314537777844,0.005436396119023758,Peking University
organization_46,242,0.01758693170334491,0.005101952296044538,The Chinese University of Hong Kong
organization_28,220,0.01642341914108457,0.004519977639912071,Shanghai Jiao Tong University
organization_154,201,0.02052674902962082,0.004458853476652808,Zhejiang University
organization_156,224,0.013560942935117613,0.004375510260628242,University of Washington
organization_15,226,0.012499603209849924,0.004340490211507704,Google Research
organization_36,200,0.013373064118766872,0.004094133425967869,Google DeepMind
organization_221,218,0.015015897701399328,0.0038850199088119337,MIT
organization_226,180,0.018091693221331133,0.0038191108787450695,Nanyang Technological University
organization_40,201,0.019008095380576545,0.0037891074260794234,Microsoft Research
organization_120,175,0.021783405977824702,0.003776321061145878,University of Oxford
organization_451,182,0.007561486513258214,0.003727944798882706,Shanghai AI Laboratory
organization_2,196,0.017807223364963955,0.003678319007626496,New York University
organization_151,166,0.018958852172281916,0.0036762212868825268,Fudan University
organization_116,152,0.013521805569566872,0.003580728508294027,Alibaba Group
organization_117,149,0.014328047937857077,0.00352258023226034,University of Chinese Academy of Sciences
organization_64,164,0.01596508393039158,0.003408322070796134,National University of Singapore
organization_50,162,0.014229947354056196,0.0033934249980277055,UC Berkeley
organization_345,161,0.015214797215421124,0.003096734151819289,University of Cambridge
organization_76,158,0.013249008816667011,0.0030668899453705676,Google
organization_769,145,0.013283511543711895,0.0029281303395712844,Harvard University
organization_25,135,0.015380404672251562,0.0028830569005273204,University of Toronto
organization_278,116,0.013009467530022592,0.0028682542296314547,University of Science and Technology of China
organization_327,133,0.007374860621208354,0.0027967834993480644,Nanjing University
organization_299,154,0.017089372026799506,0.0027498937253731407,Meta
organization_555,153,0.008802702924515649,0.0027242307655249453,NVIDIA
organization_10,125,0.013676716474230641,0.0027023578007944866,Microsoft
organization_322,138,0.013617278003085504,0.002696083829049907,HKUST
organization_532,117,0.011447846591429788,0.002520133976434095,Hong Kong University of Science and Technology
organization_313,120,0.00927664651989965,0.002499362778622111,University of Southern California
organization_186,109,0.006753749668734929,0.0023932732698145943,Shanghai Artificial Intelligence Laboratory
organization_62,114,0.008609038478991766,0.002369621840981444,The University of Hong Kong
organization_194,115,0.012249237295315492,0.002321847299668291,University of Waterloo
organization_23,105,0.012747242560442476,0.0023077660124944197,Adobe Research
organization_12,104,0.009526682640292857,0.002297603272237023,University of Maryland
organization_261,74,0.014295932197198293,0.002107245815880591,No organizations found
organization_539,95,0.009874822072303521,0.0020975666185503628,ETH Zurich
organization_136,112,0.009328342265229375,0.002063975189535288,University of Edinburgh
organization_561,95,0.01165832412221169,0.0019836324210848392,Huawei Noah’s Ark Lab
organization_51,80,0.008365678626730802,0.001974559140309948,Microsoft Research Asia
organization_41,88,0.01187423188110449,0.0019423397084253227,Meta AI
organization_14,85,0.008915850539361005,0.0019203272008350483,"University of California, Berkeley"
organization_437,93,0.009246962091622924,0.001919719805836619,Columbia University
organization_24,61,0.011096665925012836,0.0019192835705480725,KAIST
organization_124,82,0.005645821789616484,0.0018267177466420618,Tencent AI Lab
organization_471,92,0.003666002097774515,0.0017803817771713866,University of Illinois Urbana-Champaign
organization_250,84,0.004862307576072479,0.0016804247113552187,Princeton University
organization_206,75,0.004446208026677265,0.001615043458965733,Massachusetts Institute of Technology
organization_112,74,0.010455019574375774,0.00161477586102403,Technical University of Munich
organization_213,75,0.009055294086935962,0.0016034654302203876,Johns Hopkins University
organization_200,90,0.006317619222867733,0.001553048426651009,Virginia Tech
organization_220,59,0.006708165734074236,0.001542874357147274,Inria
organization_27,75,0.013580110238147449,0.001522350097822075,UC San Diego
organization_610,76,0.0025779437088861053,0.001500626839419868,MIT-IBM Watson AI Lab
organization_551,56,0.008157900012920246,0.001479826882614243,ShanghaiTech University
organization_108,83,0.0036219072748935282,0.0014679335527853056,Allen Institute for Artificial Intelligence
organization_1023,88,0.0029618573208014284,0.0014619044047070814,UMass Amherst
organization_30,60,0.006535703315243783,0.0014571898910590469,Renmin University of China
organization_265,65,0.006862894606071842,0.0014496126759861924,"University of California, Los Angeles"
organization_611,77,0.014928681182733564,0.0014041567183914593,MBZUAI
organization_438,59,0.005831943232143123,0.0013835808897681122,Beijing Institute of Technology
organization_448,59,0.0038394788414706413,0.0013670113535533173,Beihang University
organization_930,79,0.004300580978122564,0.00135462604515891,Cohere
organization_766,69,0.004793741381999619,0.001343104720438754,Yale University
organization_854,51,0.008353487392285988,0.0013395201324343034,University College London
organization_267,63,0.0063610108687715775,0.0013393547642618897,EleutherAI
organization_306,54,0.006947652826524515,0.001293855897029819,University of Virginia
organization_86,61,0.0031020575763237197,0.0012866750192174444,Northeastern University
organization_548,62,0.004094806518941829,0.0012807987205463096,Vector Institute
organization_135,67,0.0028374650666461265,0.0012732830391402436,Allen Institute for AI
organization_416,79,0.0026417196422772256,0.0012587000727288123,The Ohio State University
organization_241,56,0.005362425691841441,0.001258156444866328,University of British Columbia
organization_63,48,0.005826903135838236,0.0012573668828812041,The Hong Kong University of Science and Technology
organization_85,60,0.0035035403233332893,0.0012570907083259257,Chinese Academy of Sciences
organization_118,56,0.0021922980445838636,0.0012567024492204453,"Institute of Automation, Chinese Academy of Sciences"
organization_107,54,0.004437409979233252,0.0012494974668752674,MIT CSAIL
organization_743,54,0.004671020819320618,0.0012469098916674203,Huazhong University of Science and Technology
organization_695,63,0.0054667724009269366,0.0012359220564860168,Brown University
organization_495,47,0.004027994886506281,0.0012321177959789924,McGill University
organization_9,59,0.004126269248478865,0.0012274220375800833,Georgia Institute of Technology
organization_275,74,0.004406860586963142,0.0012223480010605332,Adobe
organization_742,45,0.0031370584155825517,0.0012084407359583271,CNRS
organization_212,57,0.0025837765275262066,0.0012024074678349845,Cornell University
organization_321,58,0.0035794525951415124,0.0012008205860837215,CUHK
organization_179,35,0.006240843325912166,0.0011982899946334463,Seoul National University
organization_96,56,0.0046381320352688275,0.0011812971369902225,University of Texas at Austin
organization_262,59,0.003957441602775458,0.0011630690243299242,Monash University
organization_90,62,0.004926082303978743,0.0011479460178801218,Imperial College London
organization_1576,32,0.00439685051979241,0.0011193327414867203,HSE University
organization_260,54,0.0007533618052371055,0.0011082845252043437,SenseTime Research
organization_625,45,0.0043802866102247906,0.0011009545335920587,University of Wisconsin-Madison
