node_id,name
organization_1,Meta AI - FAIR
organization_2,New York University
organization_3,J.P. Morgan AI Research
organization_4,Department of Electrical and Computer Engineering
organization_5,Ingenuity Labs Research Institute
organization_6,Northwestern University
organization_7,"Descript, Inc."
organization_8,University of Surrey
organization_9,Georgia Institute of Technology
organization_10,Microsoft
organization_11,Peking University
organization_12,University of Maryland
organization_13,Washington University in St. Louis
organization_14,"University of California, Berkeley"
organization_15,Google Research
organization_16,Wikimedia Foundation
organization_17,"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences"
organization_18,MMU KuaiShou Inc.
organization_19,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security
organization_20,"The State Key Laboratory of Blockchain and Data Security, Zhejiang University"
organization_21,"College of Computing and Data Science, Nanyang Technological University"
organization_22,University of North Carolina at Chapel Hill
organization_23,Adobe Research
organization_24,KAIST
organization_25,University of Toronto
organization_26,Tsinghua University
organization_27,UC San Diego
organization_28,Shanghai Jiao Tong University
organization_29,Huawei
organization_30,Renmin University of China
organization_31,Poisson Lab
organization_32,Zhao Cao
organization_33,Ji-Rong Wen
organization_34,Gaoling School of Artificial Intelligence
organization_35,Stanford University
organization_36,Google DeepMind
organization_37,Google Inc.
organization_38,Nagoya Institute of Technology
organization_39,Techno-Speech
organization_40,Microsoft Research
organization_41,Meta AI
organization_42,"Preferred Networks, Inc."
organization_43,OPPO Research Institute
organization_44,The Hong Kong Polytechnic University
organization_45,UC Santa Cruz
organization_46,The Chinese University of Hong Kong
organization_47,Guangdong University of Technology
organization_48,Carnegie Mellon University
organization_49,Reality Labs Research
organization_50,UC Berkeley
organization_51,Microsoft Research Asia
organization_52,"Gaoling School of Artificial Intelligence, Renmin University of China"
organization_53,IEEE
organization_54,"Google Research, Brain Team, USA"
organization_55,"Apple, Inc."
organization_56,"Sage Hill School, Newport Coast, CA, US"
organization_57,"University of California, Santa Barbara, CA, US"
organization_58,ByteDance Inc.
organization_59,"Institute of Artificial Intelligence (TeleAI), China Telecom Corp Ltd"
organization_60,Northwestern Polytechnical University
organization_61,King Abdullah University of Science and Technology
organization_62,The University of Hong Kong
organization_63,The Hong Kong University of Science and Technology
organization_64,National University of Singapore
organization_65,Leiden Institute of Advanced Computer Science
organization_66,Leiden University
organization_67,Delft University of Technology
organization_68,Leiden University Medical Center
organization_69,Columbia University: Computer Science
organization_70,Columbia University: Biomedical Informatics
organization_71,Queen Mary University of London
organization_72,Intel Labs
organization_73,University of Catania
organization_74,Tel Aviv University
organization_75,Weizmann Institute
organization_76,Google
organization_77,Centre for the Governance of AI
organization_78,S2W Inc.
organization_79,"Bethesda, MD, USA"
organization_80,National Institutes of Health
organization_81,Lister Hill National Center for Biomedical Communications
organization_82,NYU Grossman School of Medicine
organization_83,National Library of Medicine
organization_84,"New York, NY , USA"
organization_85,Chinese Academy of Sciences
organization_86,Northeastern University
organization_87,Beijing Key Laboratory of Big Data Management and Analysis Methods
organization_88,"Institute for Artiﬁcial Intelligence, Peking University"
organization_89,Beijing Institute for General Artiﬁcial Intelligence (BIGAI)
organization_90,Imperial College London
organization_91,University of Amsterdam
organization_92,"AIRLab, University of Amsterdam"
organization_93,Microsoft Semantic Machines
organization_94,Salesforce AI Research
organization_95,University of Pennsylvania
organization_96,University of Texas at Austin
organization_97,University of Kentucky
organization_98,Louisiana State University
organization_99,University of Maryland Baltimore County
organization_100,Los Alamos National Laboratory
organization_101,University of New Mexico
organization_102,AWS AI Labs
organization_103,IBM Research AI
organization_104,Boston University
organization_105,"Language Technologies Institute, Carnegie Mellon University"
organization_106,Monash University Indonesia
organization_107,MIT CSAIL
organization_108,Allen Institute for Artificial Intelligence
organization_109,"Peking U., School of Psychological and Cognitive Sciences"
organization_110,liguiquan@pku.edu.cn
organization_111,Beijing Yuxin Technology Company
organization_112,Technical University of Munich
organization_113,Woven by Toyota
organization_114,Toyota Motor Europe NV/SA
organization_115,CAS Center for Excellence in Brain Science and Intelligence Technology
organization_116,Alibaba Group
organization_117,University of Chinese Academy of Sciences
organization_118,"Institute of Automation, Chinese Academy of Sciences"
organization_119,Apple
organization_120,University of Oxford
organization_121,Google Brain
organization_122,University of Michigan
organization_123,"ARC Lab, Tencent PCG"
organization_124,Tencent AI Lab
organization_125,Google Deepmind
organization_126,State Key Laboratory of Media Convergence Production Technology and Systems
organization_127,The University of Texas at Austin
organization_128,China
organization_129,Weicheng Wang
organization_130,Shenzhen University
organization_131,"Shenzhen, China"
organization_132,"AI Group, WeBank Co., Ltd"
organization_133,South China University of Technology
organization_134,Amazon*
organization_135,Allen Institute for AI
organization_136,University of Edinburgh
organization_137,Adobe Media and Data Science Research (MDSR)
organization_138,State University of New York at Buffalo
organization_139,IIIT-Delhi
organization_140,"Saarbrücken Research Center for Visual Computing, Interaction and AI, Germany"
organization_141,"University of Pennsylvania, USA"
organization_142,"Max Planck Institute for Informatics, Germany"
organization_143,"Google AR/VR, USA"
organization_144,"MIT CSAIL, USA"
organization_145,"Theta Labs, Inc."
organization_146,University of T ¨ubingen
organization_147,T¨ubingen AI Center
organization_148,"Max Planck Institute for Informatics, Saarland Informatics Campus"
organization_149,Qualcomm AI Research
organization_150,"Shanghai Key Laboratory of Intelligent information processing, Fudan University"
organization_151,Fudan University
organization_152,Zju.edu.cn
organization_153,Bytedance
organization_154,Zhejiang University
organization_155,ByteDance
organization_156,University of Washington
organization_157,Microsoft Azure AI
organization_158,Stanford Universty
organization_159,Stanford Univeristy
organization_160,Qualcomm AI Research*
organization_161,UC Santa Barbara
