node_id,paper_id,publish_date,title
paper_1,2304.09355,2023-04-19,To Compress or Not to Compress- Self-Supervised Learning and Information Theory: A Review
paper_2,2410.11870,2024-10-09,Post-Userist Recommender Systems : A Manifesto
paper_3,2305.05862,2023-05-10,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? A Study on Several Typical Tasks
paper_4,2110.13071,2021-10-25,Unsupervised Source Separation By Steering Pretrained Music Models
paper_5,2409.16990,2024-09-25,"Single Image, Any Face: Generalisable 3D Face Generation"
paper_6,2212.01120,2022-12-02,RT-NeRF: Real-Time On-Device Neural Radiance Fields Towards Immersive AR/VR Rendering
paper_7,2405.17665,2024-05-27,"Improving Robotic Arms through Natural Language Processing, Computer Vision, and Edge Computing"
paper_8,2305.05383,2023-05-08,Code Execution with Pre-trained Language Models
paper_9,2210.14473,2022-10-26,Benchmarking Language Models for Code Syntax Understanding
paper_10,2204.02483,2022-04-05,Considerations for Multilingual Wikipedia Research
paper_11,2211.10624,2022-11-19,A Unified Model for Video Understanding and Knowledge Embedding with Heterogeneous Knowledge Graph Dataset
paper_12,2411.11478,2024-11-18,SoK: On the Role and Future of AIGC Watermarking in the Era of Gen-AI
paper_13,2109.07448,2021-09-15,Neural Human Performer: Learning Generalizable Radiance Fields for Human Performance Rendering
paper_14,2304.06937,2023-04-14,CAMM: Building Category-Agnostic and Animatable 3D Models from Monocular Videos
paper_15,2305.05706,2023-05-09,DexArt: Benchmarking Generalizable Dexterous Manipulation with Articulated Objects
paper_16,2305.06324,2023-05-10,Alternating Gradient Descent and Mixture-of-Experts for Integrated Multimodal Perception
paper_17,2307.11650,2023-07-21,Alleviating the Long-Tail Problem in Conversational Recommender Systems
paper_18,2305.05973,2023-05-10,Synthetic Query Generation for Privacy-Preserving Deep Retrieval Systems using Differentially Private Language Models
paper_19,1904.06868,2019-04-15,Singing voice synthesis based on convolutional neural networks
paper_20,2207.05205,2022-07-11,Scaling Novel Object Detection with Weakly Supervised Detection Transformers
paper_21,2409.19854,2024-09-30,The Construction of Instruction-tuned LLMs for Finance without Instruction Data Using Continual Pretraining and Model Merging
paper_22,2412.03017,2024-12-04,Pixel-level and Semantic-level Adjustable Super-resolution: A Dual-LoRA Approach
paper_23,2306.15658,2023-06-27,"CLIPA-v2: Scaling CLIP Training with 81.1% Zero-shot ImageNet Accuracy within a \$10,000 Budget; An Extra \$4,000 Unlocks 81.8% Accuracy"
paper_24,2305.07027,2023-05-11,EfficientViT: Memory Efficient Vision Transformer with Cascaded Group Attention
paper_25,2501.01679,2025-01-03,Adaptive Few-shot Prompting for Machine Translation with Pre-trained Language Models
paper_26,2305.06456,2023-05-10,Perpetual Humanoid Control for Real-time Simulated Avatars
paper_27,2305.07021,2023-05-11,Simple Token-Level Confidence Improves Caption Correctness
paper_28,2305.07004,2023-05-11,Not All Languages Are Created Equal in LLMs: Improving Multilingual Capability by Cross-Lingual-Thought Prompting
paper_29,2501.05862,2025-01-10,Language-Inspired Relation Transfer for Few-shot Class-Incremental Learning
paper_30,2305.06474,2023-05-10,Do LLMs Understand User Preferences? Evaluating LLMs On User Rating Prediction
paper_31,2305.06404,2023-05-10,LACoS-BLOOM: Low-rank Adaptation with Contrastive objective on 8 bits Siamese-BLOOM
paper_32,2305.06424,2023-05-10,Bot or Human? Detecting ChatGPT Imposters with A Single Question
paper_33,2409.07450,2024-09-11,VMAS: Video-to-Music Generation via Semantic Alignment in Web Music Videos
paper_34,2408.10483,2024-08-20,PRformer: Pyramidal Recurrent Transformer for Multivariate Time Series Forecasting
paper_35,2305.07243,2023-05-12,Better speech synthesis through scaling
paper_36,2304.10592,2023-04-20,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models
paper_37,2305.07447,2023-05-11,Universal Source Separation with Weakly Labelled Data
paper_38,2305.08850,2023-05-15,Make-A-Protagonist: Generic Video Editing with An Ensemble of Experts
paper_39,2408.03553,2024-08-07,Dirichlet forms of diffusion processes on Thoma simplex
paper_40,2304.10098,2023-04-20,Two-Memory Reinforcement Learning
paper_41,2308.05533,2023-08-10,Is there progress in activity progress prediction?
paper_42,2305.07615,2023-05-12,What are the Desired Characteristics of Calibration Sets? Identifying Correlates on Long Form Scientific Summarization
paper_43,2403.02138,2024-03-04,Self-Supervised Facial Representation Learning with Facial Region Awareness
paper_44,2312.03391,2023-12-06,Action Scene Graphs for Long-Form Understanding of Egocentric Videos
paper_45,2305.07378,2023-05-12,Surfacing Biases in Large Language Models using Contrastive Input Decoding
paper_46,2305.07153,2023-05-11,Towards best practices in AGI safety and governance: A survey of expert opinion
paper_47,null,2003-04-09,"Physical wavelets: Lorentz covariant, singularity-free, finite energy, zero action, localized solutions to the wave equation"
paper_48,2305.08596,2023-05-15,DarkBERT: A Language Model for the Dark Side of the Internet
paper_49,2309.12224,2023-09-21,Towards Answering Health-related Questions from Medical Videos: Datasets and Approaches
paper_50,2411.05679,2024-11-08,Tell What You Hear From What You See -- Video to Audio Generation Through Text
paper_51,2410.16229,2024-10-21,Building A Coding Assistant via the Retrieval-Augmented Language Model
paper_52,2303.06574,2023-03-12,Diffusion Models for Non-autoregressive Text Generation: A Survey
paper_53,2210.09729,2022-10-18,HUMANISE: Language-conditioned Human Motion Generation in 3D Scenes
paper_54,2402.10207,2024-02-15,Rewards-in-Context: Multi-objective Alignment of Foundation Models with Dynamic Preference Adjustment
paper_55,2105.01687,2021-05-04,Solving the pooling problem at scale with extensible solver GALINI
paper_56,2310.01427,2023-09-28,Attention Sorting Combats Recency Bias In Long Context Language Models
paper_57,2402.17510,2024-02-27,Demonstrating and Reducing Shortcuts in Vision-Language Representation Learning
paper_58,1411.0802,2014-11-04,"Simultaneous Localization, Mapping, and Manipulation for Unsupervised Object Discovery"
paper_59,2305.08809,2023-05-15,Interpretability at Scale: Identifying Causal Mechanisms in Alpaca
paper_60,2305.08677,2023-05-15,Natural Language Decomposition and Interpretation of Complex Utterances
paper_61,2305.08275,2023-05-14,ULIP-2: Towards Scalable Multimodal Pre-training for 3D Understanding
paper_62,2405.17740,2024-05-28,MobileConvRec: A Conversational Dataset for Mobile Apps Recommendations
paper_63,2410.02721,2024-10-03,"Domain-Specific Retrieval-Augmented Generation Using Vector Stores, Knowledge Graphs, and Tensor Factorization"
paper_64,2305.07677,2023-05-11,Masked Audio Text Encoders are Effective Multi-Modal Rescorers
paper_65,1712.01813,2017-12-05,Neural Cross-Lingual Entity Linking
paper_66,2305.08844,2023-05-15,RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs
paper_67,2401.06816,2024-01-11,When ChatGPT is gone: Creativity reverts and homogeneity persists
paper_68,2305.08891,2023-05-15,Common Diffusion Noise Schedules and Sample Steps are Flawed
paper_69,2312.02069,2023-12-04,GaussianAvatars: Photorealistic Head Avatars with Rigged 3D Gaussians
paper_70,1805.11933,2018-05-28,Tunneling Through the Math Barrier: The Fledgling Physics Student's Field Guide to Essential Mathematics
paper_71,2310.05400,2023-10-09,Efficient-VQGAN: Towards High-Resolution Image Generation with Efficient Vision Transformers
paper_72,2305.09253,2023-05-16,Online Continual Learning Without the Storage Constraint
paper_73,1612.00814,2016-12-01,Perspective Transformer Nets: Learning Single-View 3D Object Reconstruction without 3D Supervision
paper_74,2405.04007,2024-05-07,SEED-Data-Edit Technical Report: A Hybrid Dataset for Instructional Image Editing
paper_75,2305.10403,2023-05-17,PaLM 2 Technical Report
paper_76,2305.10425,2023-05-17,SLiC-HF: Sequence Likelihood Calibration with Human Feedback
paper_77,2305.10429,2023-05-17,DoReMi: Optimizing Data Mixtures Speeds Up Language Model Pretraining
paper_78,2305.09975,2023-05-17,Smart Word Suggestions for Writing Assistance
paper_79,2305.10005,2023-05-17,DinoSR: Self-Distillation and Online Clustering for Self-supervised Speech Representation Learning
paper_80,2305.09863,2023-05-17,Explaining black box text modules in natural language with language models
paper_81,2412.03075,2024-12-04,ASR-EC Benchmark: Evaluating Large Language Models on Chinese ASR Error Correction
paper_82,2407.20194,2024-07-29,Radiance Fields for Robotic Teleoperation
paper_83,2305.10320,2023-05-17,CostFormer:Cost Transformer for Cost Aggregation in Multi-view Stereo
paper_84,2305.10018,2023-05-17,Transfer Learning for Fine-grained Classification Using Semi-supervised Learning and Visual Transformers
paper_85,2305.10266,2023-05-17,Searching for Needles in a Haystack: On the Role of Incidental Bilingualism in PaLM's Translation Capability
paper_86,2305.10142,2023-05-17,Improving Language Model Negotiation with Self-Play and In-Context Learning from AI Feedback
paper_87,2305.09758,2023-05-16,A Video Is Worth 4096 Tokens: Verbalize Videos To Understand Them In Zero Shot
paper_88,2305.10973,2023-05-18,Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold
paper_89,2305.08291,2023-05-15,Large Language Model Guided Tree-of-Thought
paper_90,2412.06698,2024-12-09,Gen-3Diffusion: Realistic Image-to-3D Generation via 2D & 3D Diffusion Synergy
paper_91,2305.10764,2023-05-18,OpenShape: Scaling Up 3D Shape Representation Towards Open-World Understanding
paper_92,2305.11000,2023-05-18,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities
paper_93,2305.10763,2023-05-18,CLAPSpeech: Learning Prosody from Text Context with Contrastive Language-Audio Pre-training
