paper_id,author_id
paper_1,author_1
paper_1,author_2
paper_2,author_3
paper_2,author_4
paper_3,author_5
paper_3,author_6
paper_3,author_7
paper_3,author_8
paper_3,author_9
paper_3,author_10
paper_3,author_11
paper_4,author_12
paper_4,author_13
paper_4,author_14
paper_4,author_15
paper_5,author_16
paper_5,author_17
paper_5,author_18
paper_5,author_19
paper_6,author_20
paper_6,author_21
paper_6,author_22
paper_6,author_23
paper_6,author_24
paper_7,author_25
paper_7,author_26
paper_7,author_27
paper_7,author_28
paper_7,author_29
paper_7,author_30
paper_8,author_31
paper_8,author_32
paper_8,author_33
paper_8,author_34
paper_8,author_35
paper_8,author_36
paper_8,author_37
paper_8,author_38
paper_9,author_39
paper_9,author_40
paper_9,author_41
paper_9,author_42
paper_9,author_43
paper_10,author_44
paper_10,author_45
paper_11,author_46
paper_11,author_47
paper_11,author_48
paper_11,author_49
paper_11,author_50
paper_11,author_51
paper_11,author_52
paper_11,author_53
paper_11,author_54
paper_11,author_55
paper_12,author_56
paper_12,author_57
paper_12,author_58
paper_12,author_59
paper_12,author_60
paper_12,author_61
paper_12,author_62
paper_12,author_63
paper_12,author_64
paper_13,author_65
paper_13,author_66
paper_13,author_67
paper_13,author_68
paper_14,author_69
paper_14,author_70
paper_14,author_71
paper_14,author_72
paper_14,author_73
paper_15,author_74
paper_15,author_75
paper_15,author_76
paper_15,author_77
paper_16,author_78
paper_16,author_79
paper_16,author_80
paper_16,author_81
paper_16,author_82
paper_16,author_83
paper_17,author_84
paper_17,author_85
paper_17,author_86
paper_17,author_87
paper_17,author_88
paper_17,author_89
paper_17,author_90
paper_18,author_91
paper_18,author_92
paper_18,author_93
paper_18,author_94
paper_18,author_95
paper_18,author_96
paper_19,author_97
paper_19,author_98
paper_19,author_99
paper_19,author_100
paper_19,author_101
paper_20,author_102
paper_20,author_103
paper_20,author_104
paper_20,author_105
paper_20,author_106
paper_21,author_107
paper_21,author_108
paper_22,author_109
paper_22,author_110
paper_22,author_111
paper_22,author_112
paper_22,author_113
paper_22,author_114
paper_23,author_115
paper_23,author_116
paper_23,author_117
paper_24,author_118
paper_24,author_119
paper_24,author_120
paper_24,author_121
paper_24,author_122
paper_24,author_123
paper_25,author_124
paper_25,author_125
paper_25,author_126
paper_25,author_127
paper_25,author_128
paper_26,author_129
paper_26,author_130
paper_26,author_131
paper_26,author_132
paper_26,author_133
paper_27,author_134
paper_27,author_135
paper_27,author_136
paper_27,author_137
paper_27,author_138
paper_27,author_139
paper_28,author_140
paper_28,author_141
paper_28,author_142
paper_28,author_87
paper_28,author_143
paper_28,author_144
paper_28,author_145
paper_29,author_146
paper_29,author_147
paper_29,author_148
paper_29,author_149
paper_30,author_150
paper_30,author_151
paper_30,author_152
paper_30,author_153
paper_30,author_154
paper_30,author_155
paper_30,author_156
paper_31,author_157
paper_31,author_158
paper_31,author_159
paper_32,author_160
paper_32,author_161
paper_32,author_162
paper_32,author_163
paper_33,author_164
paper_33,author_165
paper_33,author_166
paper_33,author_167
paper_33,author_168
paper_34,author_169
paper_34,author_170
paper_34,author_171
paper_34,author_172
paper_35,author_173
paper_36,author_174
paper_36,author_175
paper_36,author_176
paper_36,author_177
paper_36,author_178
paper_37,author_179
paper_37,author_180
paper_37,author_181
paper_37,author_182
paper_37,author_183
paper_37,author_184
paper_37,author_185
paper_38,author_186
paper_38,author_187
paper_38,author_188
paper_38,author_189
paper_38,author_190
paper_39,author_191
paper_40,author_192
paper_40,author_193
paper_40,author_194
paper_40,author_195
paper_41,author_196
paper_41,author_197
paper_41,author_198
paper_41,author_199
paper_42,author_200
paper_42,author_201
paper_42,author_202
paper_42,author_203
paper_42,author_204
paper_42,author_205
paper_42,author_206
paper_42,author_207
paper_42,author_208
paper_42,author_209
paper_43,author_210
paper_43,author_211
paper_44,author_212
paper_44,author_213
paper_44,author_214
paper_44,author_215
paper_44,author_216
paper_45,author_217
paper_45,author_218
paper_45,author_219
paper_45,author_220
paper_46,author_221
paper_46,author_222
paper_46,author_223
paper_46,author_224
paper_46,author_225
paper_46,author_226
paper_46,author_227
paper_47,author_228
paper_48,author_229
paper_48,author_230
paper_48,author_231
paper_48,author_232
paper_48,author_233
paper_48,author_234
paper_49,author_235
paper_49,author_236
paper_49,author_237
paper_50,author_238
paper_50,author_239
paper_50,author_240
paper_51,author_241
paper_51,author_242
paper_51,author_243
paper_51,author_244
paper_51,author_245
paper_51,author_246
paper_51,author_247
paper_51,author_248
paper_51,author_249
paper_52,author_250
paper_52,author_85
paper_52,author_87
paper_52,author_90
paper_53,author_251
paper_53,author_252
paper_53,author_253
paper_53,author_254
paper_53,author_255
paper_53,author_256
paper_54,author_257
paper_54,author_258
paper_54,author_259
paper_54,author_260
paper_54,author_261
paper_54,author_262
paper_54,author_263
paper_55,author_264
paper_55,author_265
paper_56,author_266
paper_56,author_267
paper_57,author_268
paper_57,author_269
paper_57,author_270
paper_57,author_271
paper_58,author_272
paper_58,author_273
paper_58,author_274
paper_58,author_275
paper_58,author_276
paper_59,author_277
paper_59,author_278
paper_59,author_279
paper_59,author_280
paper_59,author_281
paper_60,author_282
paper_60,author_283
paper_60,author_284
paper_60,author_285
paper_60,author_286
paper_60,author_287
paper_61,author_288
paper_61,author_289
paper_61,author_290
paper_61,author_291
paper_61,author_292
paper_61,author_293
paper_61,author_294
paper_61,author_295
paper_61,author_296
paper_61,author_297
paper_61,author_298
paper_62,author_299
paper_62,author_300
paper_62,author_301
paper_62,author_302
paper_62,author_303
paper_63,author_304
paper_63,author_305
paper_63,author_306
paper_63,author_307
paper_63,author_308
paper_63,author_309
paper_63,author_310
paper_63,author_311
paper_63,author_312
paper_63,author_313
paper_63,author_314
paper_64,author_315
paper_64,author_316
paper_64,author_317
paper_64,author_318
paper_64,author_319
paper_64,author_320
paper_65,author_321
paper_65,author_322
paper_65,author_323
paper_65,author_324
paper_66,author_325
paper_66,author_326
paper_66,author_327
paper_66,author_328
paper_66,author_329
paper_66,author_330
paper_66,author_331
paper_67,author_332
paper_67,author_333
paper_67,author_334
paper_67,author_335
paper_68,author_336
paper_68,author_337
paper_68,author_338
paper_68,author_339
paper_69,author_340
paper_69,author_341
paper_69,author_342
paper_69,author_343
paper_69,author_344
paper_69,author_345
paper_70,author_346
paper_71,author_347
paper_71,author_348
paper_71,author_349
paper_71,author_350
paper_71,author_351
paper_71,author_352
paper_71,author_353
paper_72,author_354
paper_72,author_355
paper_72,author_356
paper_72,author_357
paper_72,author_358
paper_72,author_359
paper_73,author_360
paper_73,author_361
paper_73,author_362
paper_73,author_363
paper_73,author_364
paper_74,author_365
paper_74,author_366
paper_74,author_367
paper_74,author_368
paper_74,author_369
paper_75,author_370
paper_75,author_371
paper_75,author_372
paper_75,author_373
paper_75,author_374
paper_75,author_375
paper_75,author_376
paper_75,author_377
paper_75,author_378
paper_75,author_379
paper_75,author_380
paper_75,author_381
paper_75,author_382
paper_75,author_383
paper_75,author_384
paper_75,author_385
paper_75,author_386
paper_75,author_387
paper_75,author_388
paper_75,author_389
paper_75,author_390
paper_75,author_391
paper_75,author_392
paper_75,author_393
paper_75,author_394
paper_75,author_395
paper_75,author_396
paper_75,author_397
paper_75,author_398
paper_75,author_399
paper_75,author_400
paper_75,author_401
paper_75,author_402
paper_75,author_403
paper_75,author_404
paper_75,author_405
paper_75,author_406
paper_75,author_407
paper_75,author_408
paper_75,author_409
paper_75,author_410
paper_75,author_411
paper_75,author_412
paper_75,author_413
paper_75,author_414
paper_75,author_415
paper_75,author_416
paper_75,author_417
paper_75,author_418
paper_75,author_419
paper_75,author_420
paper_75,author_421
paper_75,author_422
paper_75,author_423
paper_75,author_424
paper_75,author_425
paper_75,author_426
paper_75,author_427
paper_75,author_428
paper_75,author_429
paper_75,author_430
paper_75,author_431
paper_75,author_95
paper_75,author_432
paper_75,author_433
paper_75,author_434
paper_75,author_435
paper_75,author_436
paper_75,author_437
paper_75,author_438
paper_75,author_439
paper_75,author_440
paper_75,author_441
paper_75,author_442
paper_75,author_443
paper_75,author_444
paper_75,author_445
paper_75,author_446
paper_75,author_447
paper_75,author_448
paper_75,author_449
paper_75,author_450
paper_75,author_451
paper_75,author_452
paper_75,author_453
paper_75,author_454
paper_75,author_455
paper_75,author_456
paper_75,author_457
paper_75,author_458
paper_75,author_459
paper_75,author_460
paper_75,author_461
paper_75,author_462
paper_75,author_463
paper_75,author_464
paper_75,author_465
paper_75,author_466
paper_75,author_467
paper_75,author_468
paper_75,author_469
paper_75,author_470
paper_75,author_471
paper_75,author_472
paper_75,author_473
paper_75,author_474
paper_75,author_475
paper_75,author_476
paper_75,author_477
paper_75,author_478
paper_75,author_479
paper_75,author_480
paper_75,author_481
paper_75,author_482
paper_75,author_483
paper_75,author_484
paper_75,author_485
paper_75,author_486
paper_75,author_487
paper_75,author_488
paper_75,author_489
paper_75,author_490
paper_75,author_491
paper_75,author_492
paper_75,author_493
paper_75,author_494
paper_75,author_495
paper_75,author_496
paper_76,author_497
paper_76,author_498
paper_76,author_499
paper_76,author_500
paper_76,author_501
paper_76,author_502
paper_77,author_503
paper_77,author_504
paper_77,author_505
paper_77,author_413
paper_77,author_506
paper_77,author_507
paper_77,author_508
paper_77,author_509
paper_77,author_510
paper_77,author_511
paper_78,author_512
paper_78,author_513
paper_78,author_514
paper_78,author_515
paper_78,author_516
paper_78,author_144
paper_78,author_517
paper_78,author_518
paper_79,author_519
paper_79,author_520
paper_79,author_521
paper_79,author_522
paper_79,author_523
paper_80,author_524
paper_80,author_525
paper_80,author_526
paper_80,author_527
paper_80,author_528
paper_80,author_529
paper_80,author_530
paper_81,author_531
paper_81,author_532
paper_81,author_533
paper_81,author_534
paper_81,author_535
paper_82,author_536
paper_82,author_537
paper_82,author_538
paper_83,author_539
paper_83,author_540
paper_83,author_541
paper_83,author_542
paper_83,author_543
paper_83,author_544
paper_83,author_545
paper_84,author_546
paper_84,author_547
paper_84,author_548
paper_84,author_549
paper_84,author_550
paper_84,author_551
paper_84,author_552
paper_85,author_553
paper_85,author_404
paper_85,author_554
paper_86,author_555
paper_86,author_556
paper_86,author_557
paper_86,author_558
paper_87,author_559
paper_87,author_560
paper_87,author_561
paper_87,author_562
paper_87,author_563
paper_88,author_564
paper_88,author_565
paper_88,author_566
paper_88,author_567
paper_88,author_568
paper_88,author_569
paper_89,author_570
paper_90,author_571
paper_90,author_572
paper_90,author_573
paper_90,author_574
paper_91,author_575
paper_91,author_576
paper_91,author_577
paper_91,author_578
paper_91,author_579
paper_91,author_580
paper_91,author_581
paper_91,author_582
paper_91,author_583
paper_92,author_584
paper_92,author_585
paper_92,author_586
paper_92,author_587
paper_92,author_588
paper_92,author_589
paper_92,author_590
paper_93,author_591
paper_93,author_592
paper_93,author_593
paper_93,author_594
paper_93,author_595
paper_93,author_596
paper_93,author_597
paper_93,author_598
paper_94,author_599
paper_94,author_600
paper_94,author_601
paper_94,author_602
paper_94,author_603
paper_94,author_604
paper_95,author_605
paper_95,author_290
paper_95,author_289
paper_95,author_606
paper_95,author_607
paper_95,author_608
paper_95,author_609
paper_95,author_297
paper_95,author_295
paper_95,author_298
paper_95,author_610
paper_95,author_611
paper_95,author_296
paper_96,author_612
paper_96,author_613
paper_96,author_614
paper_96,author_615
paper_96,author_616
paper_96,author_617
paper_97,author_618
paper_97,author_619
paper_97,author_620
paper_97,author_621
paper_97,author_622
paper_97,author_623
paper_97,author_624
paper_97,author_625
paper_97,author_626
paper_98,author_627
paper_98,author_628
paper_98,author_629
paper_98,author_630
paper_98,author_631
paper_98,author_632
paper_98,author_633
paper_99,author_634
paper_99,author_635
paper_99,author_636
paper_99,author_637
paper_100,author_638
paper_100,author_639
paper_100,author_640
paper_100,author_641
paper_101,author_642
paper_101,author_643
paper_101,author_644
paper_101,author_645
paper_101,author_646
paper_101,author_647
paper_101,author_648
paper_102,author_649
paper_102,author_650
paper_102,author_651
paper_102,author_652
paper_103,author_653
paper_103,author_654
paper_103,author_655
paper_103,author_656
paper_104,author_657
paper_104,author_658
paper_104,author_659
paper_104,author_660
paper_104,author_661
paper_104,author_662
paper_105,author_663
paper_105,author_664
paper_105,author_665
paper_105,author_666
paper_105,author_667
paper_105,author_668
paper_105,author_669
paper_105,author_670
paper_105,author_671
paper_105,author_672
paper_106,author_673
paper_106,author_674
paper_106,author_675
paper_106,author_676
paper_106,author_677
paper_107,author_678
paper_107,author_679
paper_107,author_680
paper_107,author_681
paper_107,author_682
paper_108,author_683
paper_108,author_684
paper_108,author_685
paper_108,author_686
paper_108,author_687
paper_108,author_688
paper_108,author_689
paper_109,author_690
paper_110,author_691
paper_110,author_692
paper_110,author_693
paper_110,author_694
paper_110,author_695
paper_110,author_696
paper_110,author_22
paper_111,author_697
paper_111,author_698
paper_111,author_699
paper_112,author_700
paper_112,author_701
paper_112,author_702
paper_113,author_703
paper_113,author_704
paper_113,author_705
paper_113,author_706
paper_113,author_707
paper_113,author_708
paper_114,author_709
paper_115,author_710
paper_115,author_711
paper_115,author_712
paper_115,author_713
paper_115,author_714
paper_116,author_715
paper_116,author_716
paper_116,author_717
paper_116,author_718
paper_116,author_719
paper_116,author_720
paper_116,author_721
paper_117,author_722
paper_117,author_723
paper_117,author_724
paper_117,author_725
paper_117,author_726
paper_117,author_727
