paper_id,category_id
paper_1,category_1
paper_1,category_2
paper_1,category_3
paper_2,category_4
paper_2,category_5
paper_3,category_6
paper_3,category_7
paper_4,category_8
paper_4,category_1
paper_4,category_9
paper_5,category_10
paper_6,category_11
paper_7,category_12
paper_8,category_13
paper_8,category_7
paper_8,category_6
paper_8,category_14
paper_9,category_6
paper_10,category_15
paper_10,category_6
paper_11,category_10
paper_12,category_16
paper_13,category_10
paper_13,category_17
paper_14,category_10
paper_15,category_12
paper_15,category_10
paper_15,category_1
paper_16,category_10
paper_16,category_7
paper_16,category_1
paper_16,category_18
paper_16,category_19
paper_17,category_4
paper_17,category_7
paper_18,category_6
paper_18,category_16
paper_18,category_4
paper_19,category_9
paper_19,category_1
paper_19,category_8
paper_20,category_10
paper_20,category_1
paper_21,category_6
paper_21,category_20
paper_21,category_21
paper_21,category_22
paper_22,category_10
paper_23,category_10
paper_24,category_10
paper_25,category_6
paper_25,category_7
paper_26,category_10
paper_26,category_17
paper_26,category_12
paper_27,category_10
paper_28,category_6
paper_29,category_10
paper_30,category_4
paper_30,category_1
paper_31,category_6
paper_31,category_7
paper_32,category_6
paper_33,category_18
paper_33,category_10
paper_33,category_8
paper_33,category_9
paper_34,category_1
paper_35,category_8
paper_35,category_6
paper_35,category_9
paper_36,category_10
paper_37,category_8
paper_37,category_9
paper_38,category_10
paper_39,category_23
paper_39,category_24
paper_40,category_1
paper_40,category_7
paper_41,category_10
paper_42,category_6
paper_43,category_10
paper_44,category_10
paper_45,category_6
paper_45,category_15
paper_45,category_1
paper_46,category_15
paper_47,category_25
paper_48,category_6
paper_48,category_26
paper_49,category_6
paper_50,category_10
paper_50,category_7
paper_50,category_1
paper_50,category_8
paper_50,category_9
paper_51,category_6
paper_52,category_6
paper_53,category_10
paper_53,category_7
paper_54,category_1
paper_54,category_7
paper_54,category_6
paper_55,category_27
paper_56,category_6
paper_56,category_7
paper_57,category_10
paper_57,category_7
paper_58,category_12
paper_58,category_10
paper_59,category_6
paper_60,category_6
paper_61,category_10
paper_62,category_6
paper_63,category_6
paper_63,category_7
paper_63,category_4
paper_63,category_14
paper_64,category_8
paper_64,category_6
paper_64,category_1
paper_65,category_6
paper_66,category_6
paper_67,category_6
paper_67,category_7
paper_67,category_5
paper_68,category_10
paper_69,category_10
paper_70,category_28
paper_70,category_29
paper_71,category_10
paper_72,category_10
paper_72,category_1
paper_73,category_10
paper_73,category_17
paper_73,category_1
paper_74,category_10
paper_75,category_6
paper_75,category_7
paper_76,category_6
paper_76,category_7
paper_77,category_6
paper_77,category_1
paper_78,category_6
paper_79,category_6
paper_80,category_7
paper_80,category_6
paper_80,category_1
paper_80,category_30
paper_81,category_6
paper_81,category_8
paper_81,category_9
paper_82,category_12
paper_83,category_10
paper_84,category_10
paper_84,category_7
paper_84,category_1
paper_85,category_6
paper_86,category_6
paper_87,category_10
paper_87,category_6
paper_88,category_10
paper_88,category_17
paper_89,category_7
paper_89,category_6
paper_89,category_10
paper_89,category_1
paper_89,category_31
paper_90,category_10
paper_91,category_10
paper_92,category_6
paper_93,category_8
paper_93,category_9
paper_94,category_10
paper_94,category_7
paper_95,category_10
paper_95,category_7
paper_96,category_10
paper_96,category_1
paper_97,category_10
paper_98,category_10
paper_99,category_6
paper_100,category_6
paper_100,category_7
paper_101,category_8
paper_101,category_1
paper_101,category_18
paper_101,category_9
paper_102,category_12
paper_102,category_7
paper_102,category_1
paper_103,category_7
paper_103,category_1
paper_103,category_32
paper_104,category_1
paper_105,category_10
paper_105,category_17
paper_105,category_1
paper_106,category_6
paper_107,category_10
paper_107,category_6
paper_107,category_1
paper_107,category_8
paper_107,category_9
paper_108,category_10
paper_109,category_10
paper_110,category_10
paper_111,category_10
paper_111,category_33
paper_112,category_1
paper_112,category_6
paper_112,category_34
paper_113,category_6
paper_113,category_7
paper_114,category_35
paper_114,category_7
paper_114,category_36
paper_115,category_1
paper_115,category_7
paper_116,category_1
paper_116,category_7
paper_116,category_34
paper_117,category_4
paper_117,category_6
paper_118,category_9
paper_118,category_7
paper_118,category_6
paper_118,category_8
paper_119,category_37
paper_119,category_7
paper_119,category_1
paper_119,category_38
paper_120,category_6
paper_120,category_7
paper_121,category_6
paper_122,category_6
paper_122,category_7
paper_123,category_6
paper_123,category_15
paper_124,category_6
paper_124,category_7
paper_125,category_7
paper_125,category_6
paper_126,category_6
paper_126,category_7
paper_127,category_7
paper_127,category_34
paper_128,category_6
paper_128,category_7
paper_129,category_14
paper_129,category_16
paper_129,category_15
paper_130,category_1
paper_130,category_7
paper_131,category_6
