paper_id,organization_id
paper_1,organization_1
paper_1,organization_2
paper_3,organization_3
paper_3,organization_4
paper_3,organization_5
paper_4,organization_6
paper_4,organization_7
paper_5,organization_8
paper_6,organization_9
paper_8,organization_10
paper_8,organization_11
paper_9,organization_12
paper_9,organization_13
paper_9,organization_14
paper_9,organization_15
paper_10,organization_16
paper_11,organization_17
paper_11,organization_18
paper_12,organization_19
paper_12,organization_20
paper_12,organization_21
paper_13,organization_22
paper_13,organization_23
paper_13,organization_24
paper_14,organization_25
paper_15,organization_26
paper_15,organization_27
paper_15,organization_28
paper_16,organization_15
paper_17,organization_29
paper_17,organization_30
paper_17,organization_31
paper_17,organization_32
paper_17,organization_33
paper_17,organization_34
paper_18,organization_35
paper_18,organization_15
paper_18,organization_36
paper_18,organization_37
paper_19,organization_38
paper_19,organization_39
paper_20,organization_9
paper_20,organization_40
paper_20,organization_41
paper_21,organization_42
paper_22,organization_43
paper_22,organization_44
paper_23,organization_45
paper_24,organization_40
paper_24,organization_46
paper_25,organization_46
paper_25,organization_47
paper_26,organization_48
paper_26,organization_49
paper_27,organization_50
paper_27,organization_41
paper_28,organization_51
paper_28,organization_52
paper_29,organization_53
paper_30,organization_54
paper_31,organization_55
paper_32,organization_56
paper_32,organization_57
paper_33,organization_58
paper_34,organization_59
paper_34,organization_60
paper_36,organization_61
paper_38,organization_62
paper_38,organization_63
paper_38,organization_64
paper_40,organization_65
paper_40,organization_66
paper_41,organization_67
paper_41,organization_68
paper_42,organization_40
paper_42,organization_69
paper_42,organization_70
paper_43,organization_71
paper_44,organization_72
paper_44,organization_73
paper_45,organization_74
paper_45,organization_75
paper_45,organization_76
paper_46,organization_77
paper_48,organization_24
paper_48,organization_78
paper_49,organization_79
paper_49,organization_80
paper_49,organization_2
paper_49,organization_81
paper_49,organization_82
paper_49,organization_83
paper_49,organization_84
paper_51,organization_85
paper_51,organization_26
paper_51,organization_86
paper_52,organization_30
paper_52,organization_87
paper_53,organization_88
paper_53,organization_89
paper_55,organization_90
paper_57,organization_91
paper_57,organization_92
paper_59,organization_35
paper_60,organization_93
paper_61,organization_94
paper_61,organization_95
paper_61,organization_35
paper_61,organization_96
paper_62,organization_97
paper_62,organization_98
paper_63,organization_99
paper_63,organization_96
paper_63,organization_100
paper_63,organization_101
paper_64,organization_102
paper_65,organization_103
paper_66,organization_104
paper_66,organization_105
paper_66,organization_106
paper_66,organization_48
paper_66,organization_107
paper_66,organization_108
paper_67,organization_109
paper_67,organization_110
paper_67,organization_111
paper_68,organization_58
paper_69,organization_112
paper_69,organization_113
paper_69,organization_114
paper_71,organization_115
paper_71,organization_116
paper_71,organization_117
paper_71,organization_118
paper_72,organization_119
paper_72,organization_120
paper_72,organization_72
paper_73,organization_23
paper_73,organization_121
paper_73,organization_122
paper_74,organization_123
paper_74,organization_124
paper_75,organization_76
paper_76,organization_15
paper_76,organization_125
paper_77,organization_35
paper_77,organization_36
paper_78,organization_126
paper_78,organization_10
paper_78,organization_88
paper_79,organization_107
paper_79,organization_41
paper_80,organization_40
paper_80,organization_14
paper_80,organization_127
paper_81,organization_128
paper_81,organization_129
paper_81,organization_130
paper_81,organization_131
paper_81,organization_63
paper_81,organization_132
paper_83,organization_133
paper_83,organization_116
paper_84,organization_134
paper_86,organization_135
paper_86,organization_136
paper_87,organization_137
paper_87,organization_138
paper_87,organization_139
paper_88,organization_140
paper_88,organization_141
paper_88,organization_142
paper_88,organization_143
paper_88,organization_144
paper_89,organization_145
paper_90,organization_146
paper_90,organization_147
paper_90,organization_148
paper_91,organization_27
paper_91,organization_28
paper_91,organization_149
paper_92,organization_150
paper_92,organization_151
paper_93,organization_152
paper_93,organization_153
paper_93,organization_154
paper_93,organization_155
paper_94,organization_156
paper_94,organization_157
paper_95,organization_94
paper_95,organization_86
paper_95,organization_158
paper_95,organization_159
paper_96,organization_160
paper_97,organization_45
paper_97,organization_76
paper_97,organization_161
paper_98,organization_62
paper_98,organization_2
paper_98,organization_41
paper_99,organization_15
paper_100,organization_156
paper_100,organization_108
paper_100,organization_162
paper_101,organization_51
paper_101,organization_163
paper_101,organization_164
paper_102,organization_165
paper_103,organization_166
paper_103,organization_167
paper_103,organization_168
paper_103,organization_169
paper_103,organization_170
paper_103,organization_171
paper_104,organization_172
paper_104,organization_173
paper_106,organization_174
paper_106,organization_175
paper_106,organization_176
paper_107,organization_22
paper_107,organization_177
paper_108,organization_178
paper_108,organization_179
paper_110,organization_180
paper_110,organization_181
paper_111,organization_182
paper_111,organization_46
paper_111,organization_64
paper_112,organization_183
paper_112,organization_184
paper_113,organization_2
paper_113,organization_28
paper_113,organization_185
paper_113,organization_186
paper_113,organization_187
paper_113,organization_44
paper_114,organization_188
paper_115,organization_189
paper_115,organization_179
paper_115,organization_190
paper_115,organization_191
paper_115,organization_192
paper_116,organization_193
paper_116,organization_36
paper_117,organization_194
paper_117,organization_15
paper_118,organization_195
paper_118,organization_196
paper_119,organization_197
paper_119,organization_198
paper_120,organization_15
paper_121,organization_95
paper_121,organization_36
paper_122,organization_127
paper_123,organization_199
paper_123,organization_200
paper_123,organization_15
paper_124,organization_201
paper_124,organization_202
paper_124,organization_203
paper_125,organization_204
paper_125,organization_10
paper_125,organization_205
paper_126,organization_10
paper_126,organization_46
paper_127,organization_206
paper_127,organization_207
paper_127,organization_208
paper_128,organization_209
paper_128,organization_210
paper_130,organization_211
paper_130,organization_212
paper_130,organization_213
paper_131,organization_26
paper_132,organization_64
paper_133,organization_156
paper_133,organization_2
paper_133,organization_108
paper_135,organization_156
paper_135,organization_76
paper_136,organization_214
paper_137,organization_120
paper_137,organization_215
paper_138,organization_216
paper_138,organization_217
paper_138,organization_218
paper_138,organization_219
paper_139,organization_220
paper_139,organization_40
paper_139,organization_221
paper_140,organization_41
paper_141,organization_222
paper_141,organization_223
paper_142,organization_224
paper_143,organization_225
paper_144,organization_226
paper_144,organization_116
paper_144,organization_227
paper_144,organization_228
paper_145,organization_229
paper_147,organization_230
paper_147,organization_231
paper_148,organization_40
paper_148,organization_232
paper_149,organization_127
paper_149,organization_233
paper_150,organization_26
paper_150,organization_234
paper_150,organization_11
paper_150,organization_235
paper_151,organization_50
paper_152,organization_236
paper_153,organization_179
paper_153,organization_218
paper_154,organization_237
paper_155,organization_238
paper_155,organization_239
paper_155,organization_240
paper_156,organization_241
paper_156,organization_242
paper_156,organization_76
paper_156,organization_25
paper_156,organization_243
paper_157,organization_154
paper_158,organization_48
paper_158,organization_156
paper_158,organization_154
paper_158,organization_41
paper_159,organization_35
paper_159,organization_241
paper_159,organization_244
paper_159,organization_36
paper_159,organization_245
paper_160,organization_246
paper_161,organization_247
paper_161,organization_2
paper_161,organization_248
paper_161,organization_249
paper_163,organization_12
paper_164,organization_26
paper_164,organization_60
paper_165,organization_24
paper_166,organization_35
paper_166,organization_250
paper_166,organization_125
paper_168,organization_120
paper_168,organization_36
paper_168,organization_15
paper_169,organization_196
paper_169,organization_251
paper_170,organization_252
paper_170,organization_120
paper_170,organization_253
paper_170,organization_254
paper_171,organization_255
paper_171,organization_196
paper_171,organization_256
paper_172,organization_22
paper_172,organization_257
paper_172,organization_213
paper_173,organization_157
paper_174,organization_35
paper_175,organization_156
paper_175,organization_108
paper_176,organization_35
paper_176,organization_15
paper_177,organization_258
paper_177,organization_28
paper_178,organization_259
paper_179,organization_62
paper_179,organization_260
paper_179,organization_261
paper_180,organization_154
paper_180,organization_64
paper_181,organization_262
paper_182,organization_263
paper_183,organization_264
paper_183,organization_265
paper_183,organization_102
paper_184,organization_266
paper_184,organization_267
paper_184,organization_268
paper_184,organization_25
paper_184,organization_269
paper_184,organization_270
paper_185,organization_271
paper_185,organization_117
paper_185,organization_118
paper_186,organization_272
paper_187,organization_51
paper_188,organization_95
paper_188,organization_119
paper_188,organization_273
paper_189,organization_62
paper_189,organization_274
paper_189,organization_155
paper_190,organization_275
paper_190,organization_276
paper_191,organization_277
paper_191,organization_278
paper_191,organization_279
paper_191,organization_260
paper_191,organization_186
paper_192,organization_280
paper_192,organization_281
paper_192,organization_282
paper_193,organization_283
paper_194,organization_156
paper_194,organization_135
paper_194,organization_136
paper_195,organization_284
paper_195,organization_285
paper_195,organization_286
paper_196,organization_287
paper_197,organization_288
paper_198,organization_289
paper_198,organization_290
paper_200,organization_278
paper_201,organization_291
paper_201,organization_46
paper_202,organization_292
paper_202,organization_293
paper_203,organization_206
paper_203,organization_15
paper_203,organization_36
paper_204,organization_294
paper_204,organization_295
paper_205,organization_296
paper_205,organization_297
paper_206,organization_298
paper_206,organization_299
paper_206,organization_300
paper_207,organization_301
paper_209,organization_302
paper_210,organization_10
paper_211,organization_28
paper_211,organization_303
paper_213,organization_50
paper_214,organization_12
paper_214,organization_2
paper_214,organization_304
paper_215,organization_48
paper_216,organization_107
paper_216,organization_15
paper_217,organization_305
paper_218,organization_250
paper_219,organization_112
paper_219,organization_306
paper_219,organization_307
paper_220,organization_308
paper_221,organization_51
paper_221,organization_309
paper_221,organization_310
paper_222,organization_156
paper_222,organization_311
paper_222,organization_312
paper_222,organization_313
paper_224,organization_86
paper_224,organization_314
paper_225,organization_315
paper_225,organization_316
paper_226,organization_317
paper_226,organization_318
paper_226,organization_319
paper_226,organization_320
paper_227,organization_119
paper_227,organization_108
paper_227,organization_41
paper_228,organization_194
paper_229,organization_321
paper_229,organization_322
paper_229,organization_124
paper_229,organization_323
paper_230,organization_107
paper_230,organization_15
paper_231,organization_324
paper_231,organization_325
paper_232,organization_326
paper_232,organization_64
paper_235,organization_94
paper_236,organization_154
paper_236,organization_51
paper_236,organization_28
paper_236,organization_327
paper_236,organization_328
paper_237,organization_329
paper_237,organization_154
paper_237,organization_330
paper_237,organization_331
paper_237,organization_11
paper_238,organization_35
paper_239,organization_332
paper_241,organization_25
paper_242,organization_40
paper_244,organization_14
paper_245,organization_15
paper_246,organization_333
paper_247,organization_108
paper_247,organization_334
paper_247,organization_335
paper_247,organization_156
paper_247,organization_14
paper_248,organization_76
paper_249,organization_336
paper_250,organization_51
paper_251,organization_337
paper_251,organization_338
paper_251,organization_339
paper_251,organization_221
paper_251,organization_120
paper_251,organization_340
paper_251,organization_341
paper_251,organization_342
paper_251,organization_343
paper_251,organization_344
paper_251,organization_345
paper_252,organization_346
paper_253,organization_347
paper_253,organization_348
paper_253,organization_349
paper_253,organization_273
paper_253,organization_350
paper_254,organization_299
paper_255,organization_46
paper_255,organization_278
paper_255,organization_351
paper_255,organization_26
paper_255,organization_352
paper_255,organization_353
paper_255,organization_327
paper_256,organization_354
paper_256,organization_120
paper_256,organization_355
paper_257,organization_356
paper_257,organization_357
paper_257,organization_12
paper_257,organization_358
paper_257,organization_267
paper_257,organization_359
paper_258,organization_14
paper_259,organization_360
paper_259,organization_361
paper_261,organization_90
paper_261,organization_62
paper_261,organization_362
paper_261,organization_363
paper_261,organization_8
paper_262,organization_364
paper_263,organization_102
paper_264,organization_365
paper_264,organization_366
paper_264,organization_41
paper_265,organization_15
paper_265,organization_36
paper_266,organization_214
paper_266,organization_267
paper_266,organization_367
paper_266,organization_368
paper_267,organization_10
paper_268,organization_369
paper_268,organization_370
paper_269,organization_288
paper_269,organization_263
paper_270,organization_371
paper_270,organization_372
paper_270,organization_373
paper_270,organization_374
paper_270,organization_375
paper_271,organization_376
paper_272,organization_119
paper_274,organization_377
paper_274,organization_378
paper_275,organization_10
paper_276,organization_379
paper_276,organization_43
paper_276,organization_380
paper_277,organization_62
paper_277,organization_381
paper_277,organization_382
paper_277,organization_383
paper_279,organization_212
paper_280,organization_40
paper_280,organization_122
paper_281,organization_155
paper_282,organization_384
paper_283,organization_385
paper_283,organization_36
paper_283,organization_15
paper_284,organization_41
paper_286,organization_386
paper_286,organization_387
paper_287,organization_156
paper_287,organization_135
paper_288,organization_388
paper_288,organization_389
paper_288,organization_12
paper_288,organization_2
paper_288,organization_390
paper_288,organization_391
paper_289,organization_50
paper_289,organization_338
paper_290,organization_392
paper_290,organization_393
paper_290,organization_15
paper_290,organization_394
paper_291,organization_310
paper_291,organization_155
paper_292,organization_10
paper_292,organization_395
paper_292,organization_396
paper_293,organization_329
paper_293,organization_48
paper_293,organization_397
paper_293,organization_40
paper_293,organization_11
paper_293,organization_398
paper_294,organization_133
paper_294,organization_399
paper_294,organization_400
paper_295,organization_335
paper_296,organization_401
paper_296,organization_193
paper_296,organization_402
paper_297,organization_50
paper_297,organization_212
paper_297,organization_15
paper_298,organization_24
paper_299,organization_26
paper_300,organization_403
paper_300,organization_404
paper_300,organization_405
paper_300,organization_406
paper_300,organization_407
paper_301,organization_28
paper_302,organization_206
paper_302,organization_15
paper_303,organization_403
paper_303,organization_221
paper_304,organization_408
paper_305,organization_41
paper_306,organization_409
paper_306,organization_91
paper_307,organization_410
paper_307,organization_15
paper_308,organization_136
paper_308,organization_15
paper_309,organization_50
paper_309,organization_15
paper_310,organization_411
paper_310,organization_412
paper_310,organization_413
paper_311,organization_14
paper_311,organization_414
paper_311,organization_415
paper_312,organization_416
paper_313,organization_417
paper_314,organization_48
paper_314,organization_233
paper_315,organization_35
paper_315,organization_418
paper_315,organization_122
paper_315,organization_313
paper_315,organization_156
paper_316,organization_95
paper_316,organization_119
paper_316,organization_419
paper_318,organization_35
paper_318,organization_48
paper_318,organization_40
paper_319,organization_420
paper_319,organization_421
paper_320,organization_273
paper_321,organization_422
paper_321,organization_76
paper_322,organization_423
paper_322,organization_424
paper_322,organization_425
paper_323,organization_426
paper_323,organization_427
paper_323,organization_428
paper_323,organization_429
paper_323,organization_430
paper_323,organization_431
paper_323,organization_432
paper_324,organization_433
paper_324,organization_434
paper_324,organization_435
paper_324,organization_196
paper_324,organization_344
paper_324,organization_345
paper_325,organization_436
paper_325,organization_437
paper_326,organization_30
paper_326,organization_438
paper_326,organization_87
paper_326,organization_439
paper_327,organization_231
paper_327,organization_122
paper_328,organization_7
paper_329,organization_119
paper_329,organization_273
paper_329,organization_221
paper_330,organization_12
paper_330,organization_440
paper_330,organization_441
paper_331,organization_15
paper_332,organization_226
paper_333,organization_442
paper_333,organization_117
paper_333,organization_327
paper_334,organization_262
paper_334,organization_443
paper_334,organization_444
paper_334,organization_445
paper_334,organization_446
paper_335,organization_26
paper_335,organization_447
paper_335,organization_448
paper_336,organization_36
paper_337,organization_449
paper_337,organization_76
paper_337,organization_327
paper_340,organization_154
paper_340,organization_212
paper_340,organization_74
paper_341,organization_450
paper_341,organization_28
paper_341,organization_120
paper_341,organization_451
paper_341,organization_452
paper_341,organization_345
paper_343,organization_36
paper_344,organization_120
paper_345,organization_212
paper_345,organization_404
paper_345,organization_453
paper_346,organization_434
paper_346,organization_313
paper_347,organization_10
paper_347,organization_454
paper_347,organization_455
paper_347,organization_456
paper_348,organization_15
paper_349,organization_156
paper_349,organization_15
paper_351,organization_67
paper_352,organization_64
paper_353,organization_26
paper_353,organization_30
paper_353,organization_457
paper_353,organization_447
paper_354,organization_458
paper_354,organization_11
paper_354,organization_459
paper_355,organization_460
paper_355,organization_461
paper_356,organization_116
paper_356,organization_228
paper_358,organization_462
paper_358,organization_76
paper_359,organization_463
paper_360,organization_35
paper_360,organization_48
paper_360,organization_36
paper_361,organization_464
paper_363,organization_23
paper_363,organization_465
paper_363,organization_466
paper_364,organization_467
paper_364,organization_12
paper_364,organization_468
paper_366,organization_469
paper_366,organization_133
paper_366,organization_226
paper_367,organization_470
paper_367,organization_471
paper_368,organization_9
paper_368,organization_15
paper_368,organization_125
paper_370,organization_472
paper_371,organization_14
paper_371,organization_473
paper_373,organization_474
paper_373,organization_15
paper_373,organization_475
paper_375,organization_62
paper_375,organization_476
paper_375,organization_477
paper_375,organization_478
paper_376,organization_479
paper_377,organization_262
paper_377,organization_480
paper_377,organization_481
paper_377,organization_482
paper_377,organization_483
paper_377,organization_484
paper_378,organization_485
paper_378,organization_486
paper_379,organization_487
paper_379,organization_488
paper_381,organization_489
paper_381,organization_490
paper_382,organization_35
paper_382,organization_221
paper_382,organization_107
paper_382,organization_491
paper_383,organization_151
paper_384,organization_48
paper_384,organization_156
paper_384,organization_125
paper_385,organization_454
paper_385,organization_492
paper_386,organization_40
paper_387,organization_46
paper_387,organization_116
paper_387,organization_278
paper_387,organization_322
paper_387,organization_26
paper_387,organization_493
paper_387,organization_494
paper_387,organization_186
paper_389,organization_435
paper_389,organization_495
paper_389,organization_496
paper_390,organization_497
paper_391,organization_498
paper_391,organization_499
paper_391,organization_500
paper_391,organization_501
paper_391,organization_502
paper_391,organization_503
paper_391,organization_504
paper_391,organization_505
paper_392,organization_506
paper_392,organization_107
paper_392,organization_507
paper_392,organization_508
paper_393,organization_40
paper_394,organization_509
paper_394,organization_510
paper_394,organization_511
paper_394,organization_512
paper_394,organization_513
paper_394,organization_26
paper_395,organization_514
paper_395,organization_515
paper_395,organization_516
paper_396,organization_23
paper_396,organization_14
paper_396,organization_517
paper_397,organization_518
paper_398,organization_519
paper_399,organization_26
paper_399,organization_10
paper_399,organization_520
paper_399,organization_521
paper_401,organization_26
paper_402,organization_261
paper_402,organization_522
paper_402,organization_523
paper_403,organization_149
paper_404,organization_524
paper_404,organization_15
paper_406,organization_525
paper_406,organization_526
paper_407,organization_527
paper_407,organization_213
paper_408,organization_528
paper_409,organization_529
paper_409,organization_530
paper_409,organization_531
paper_409,organization_532
paper_410,organization_209
paper_410,organization_533
paper_411,organization_116
paper_411,organization_117
paper_411,organization_534
paper_412,organization_535
paper_412,organization_536
paper_412,organization_537
paper_412,organization_538
paper_413,organization_539
paper_414,organization_48
paper_414,organization_540
paper_414,organization_541
paper_415,organization_542
paper_415,organization_543
paper_415,organization_544
paper_415,organization_545
paper_415,organization_546
paper_415,organization_547
paper_416,organization_548
paper_416,organization_25
paper_417,organization_549
paper_417,organization_361
paper_417,organization_550
paper_418,organization_326
paper_418,organization_151
paper_418,organization_551
paper_421,organization_53
paper_423,organization_48
paper_423,organization_552
paper_425,organization_48
paper_425,organization_553
paper_428,organization_193
paper_428,organization_15
paper_429,organization_554
paper_430,organization_63
paper_431,organization_555
paper_432,organization_556
paper_432,organization_557
paper_432,organization_558
paper_433,organization_555
paper_434,organization_559
paper_434,organization_471
paper_435,organization_560
paper_436,organization_561
paper_437,organization_116
paper_437,organization_227
paper_439,organization_562
paper_440,organization_156
paper_440,organization_41
paper_441,organization_563
paper_441,organization_564
paper_441,organization_565
paper_442,organization_24
paper_442,organization_15
paper_443,organization_35
paper_444,organization_48
paper_446,organization_85
paper_446,organization_566
paper_447,organization_437
paper_448,organization_567
paper_448,organization_568
paper_448,organization_74
paper_448,organization_15
paper_449,organization_569
paper_450,organization_306
paper_450,organization_570
paper_451,organization_10
paper_451,organization_345
paper_452,organization_35
paper_452,organization_571
paper_452,organization_572
paper_453,organization_154
paper_453,organization_565
paper_453,organization_275
paper_453,organization_212
paper_453,organization_335
paper_453,organization_573
paper_453,organization_574
paper_454,organization_575
paper_455,organization_370
paper_456,organization_576
paper_456,organization_577
paper_456,organization_551
paper_456,organization_578
paper_456,organization_579
paper_457,organization_15
paper_457,organization_36
paper_459,organization_580
paper_459,organization_382
paper_459,organization_28
paper_459,organization_26
paper_459,organization_581
paper_460,organization_76
paper_460,organization_582
paper_461,organization_583
paper_462,organization_35
paper_462,organization_72
paper_462,organization_584
paper_463,organization_585
paper_463,organization_349
paper_463,organization_586
paper_463,organization_367
paper_463,organization_267
paper_463,organization_587
paper_463,organization_313
