node,community_id
author_1,15
author_2,15
author_5,37
author_6,37
author_7,37
author_8,37
author_9,37
author_10,37
author_11,37
author_16,37
author_17,37
author_18,37
author_19,37
author_20,23
author_21,23
author_22,3
author_23,4
author_24,23
author_31,5
author_32,5
author_33,5
author_34,5
author_35,5
author_36,5
author_37,5
author_38,6
author_39,7
author_40,8
author_41,7
author_42,7
author_43,7
author_46,9
author_47,9
author_48,9
author_49,9
author_50,9
author_51,9
author_52,5
author_53,9
author_54,9
author_55,9
author_65,13
author_66,13
author_67,13
author_68,13
author_69,11
author_70,11
author_71,11
author_72,11
author_73,11
author_74,12
author_75,12
author_76,12
author_77,12
author_78,13
author_79,13
author_80,11
author_81,13
author_82,13
author_83,13
author_84,9
author_85,5
author_86,9
author_87,9
author_88,9
author_89,9
author_90,9
author_91,14
author_92,14
author_93,14
author_94,14
author_95,14
author_96,14
author_102,15
author_103,15
author_104,5
author_105,15
author_106,15
author_109,37
author_110,37
author_111,9
author_112,37
author_113,37
author_114,37
author_115,17
author_116,17
author_117,17
author_118,15
author_119,18
author_120,15
author_121,5
author_122,19
author_123,15
author_124,51
author_125,51
author_126,51
author_127,51
author_128,51
author_129,17
author_130,17
author_131,17
author_132,17
author_133,17
author_134,11
author_135,11
author_136,37
author_137,11
author_138,11
author_139,11
author_140,6
author_141,6
author_142,6
author_143,6
author_144,6
author_145,6
author_146,19
author_147,19
author_148,19
author_149,19
author_150,19
author_151,19
author_152,19
author_153,19
author_154,19
author_155,7
author_156,19
author_160,19
author_161,19
author_162,18
author_163,19
author_164,18
author_165,18
author_166,18
author_167,18
author_168,18
author_169,21
author_170,21
author_171,21
author_172,21
author_174,27
author_175,27
author_176,27
author_177,51
author_178,27
author_179,19
author_180,19
author_181,19
author_182,17
author_183,19
author_184,19
author_185,19
author_186,5
author_187,37
author_188,37
author_189,37
author_190,5
author_200,23
author_201,23
author_202,23
author_203,23
author_204,23
author_205,23
author_206,23
author_207,23
author_208,23
author_209,23
author_217,11
author_218,11
author_219,11
author_220,14
author_221,24
author_222,24
author_223,24
author_224,24
author_225,24
author_226,24
author_227,24
author_238,28
author_239,28
author_240,28
author_241,9
author_242,9
author_243,9
author_244,9
author_245,9
author_246,9
author_247,9
author_248,23
author_249,9
author_250,28
author_251,37
author_252,37
author_253,37
author_254,37
author_255,19
author_256,37
author_257,19
author_258,19
author_259,37
author_260,19
author_261,19
author_262,19
author_263,19
author_268,7
author_269,7
author_270,7
author_271,7
author_277,3
author_278,3
author_279,3
author_280,3
author_281,8
author_282,28
author_283,28
author_284,28
author_285,28
author_286,28
author_287,28
author_288,7
author_289,7
author_290,7
author_291,7
author_292,7
author_293,11
author_294,11
author_295,7
author_296,7
author_297,7
author_298,7
author_325,7
author_326,7
author_327,7
author_328,7
author_329,7
author_330,7
author_331,7
author_336,3
author_337,37
author_338,29
author_339,37
author_340,37
author_341,37
author_342,37
author_343,37
author_344,37
author_345,37
author_347,18
author_348,18
author_349,18
author_350,37
author_351,18
author_352,9
author_353,18
author_354,30
author_355,13
author_356,13
author_357,13
author_358,13
author_359,13
author_360,31
author_361,31
author_362,31
author_363,31
author_364,31
author_365,18
author_366,18
author_367,18
author_368,18
author_369,18
author_370,14
author_371,14
author_372,14
author_373,14
author_374,14
author_375,14
author_376,14
author_377,14
author_378,14
author_379,14
author_380,14
author_381,14
author_382,14
author_383,14
author_384,14
author_385,14
author_386,14
author_387,14
author_388,14
author_389,14
author_390,14
author_391,14
author_392,14
author_393,14
author_394,14
author_395,14
author_396,14
author_397,14
author_398,14
author_399,14
author_400,14
author_401,14
author_402,14
author_403,14
author_404,14
author_405,14
author_406,14
author_407,14
author_408,14
author_409,14
author_410,14
author_411,14
author_412,14
author_413,14
author_414,14
author_415,14
author_416,14
author_417,14
author_418,14
author_419,14
author_420,14
author_421,14
author_422,14
author_423,14
author_424,14
author_425,14
author_426,14
author_427,14
author_428,14
author_429,14
author_430,14
author_431,14
author_432,14
author_433,14
author_434,14
author_435,14
author_436,14
author_437,14
author_438,14
author_439,14
author_440,14
author_441,32
author_442,14
author_443,14
author_444,14
author_445,14
author_446,14
author_447,14
