node,community_id
organization_1,28
organization_2,28
organization_3,1
organization_4,1
organization_5,1
organization_6,6
organization_7,6
organization_8,6
organization_9,1
organization_10,3
organization_11,3
organization_12,1
organization_13,1
organization_14,6
organization_15,28
organization_17,3
organization_18,3
organization_19,3
organization_20,3
organization_21,3
organization_22,5
organization_23,6
organization_24,24
organization_25,8
organization_26,3
organization_27,19
organization_28,3
organization_29,5
organization_30,5
organization_31,5
organization_32,5
organization_33,5
organization_34,5
organization_35,1
organization_36,28
organization_37,28
organization_40,28
organization_41,6
organization_43,13
organization_44,3
organization_45,32
organization_46,3
organization_47,3
organization_48,5
organization_49,5
organization_50,1
organization_51,3
organization_52,5
organization_55,6
organization_58,13
organization_59,14
organization_60,14
organization_61,25
organization_62,3
organization_63,3
organization_64,28
organization_67,1
organization_68,1
organization_69,1
organization_70,1
organization_71,6
organization_72,28
organization_73,28
organization_74,28
organization_75,28
organization_76,28
organization_78,24
organization_79,16
organization_80,32
organization_81,16
organization_82,16
organization_83,16
organization_84,16
organization_85,3
organization_86,17
organization_87,5
organization_88,3
organization_89,3
organization_90,24
organization_91,6
organization_92,6
organization_93,6
organization_94,17
organization_95,16
organization_96,5
organization_99,5
organization_100,5
organization_101,5
organization_102,19
organization_103,6
organization_104,5
organization_105,24
organization_106,24
organization_107,6
organization_108,24
organization_112,17
organization_113,17
organization_114,17
organization_115,3
organization_116,3
organization_117,3
organization_118,3
organization_119,16
organization_120,28
organization_121,6
organization_122,6
organization_123,3
organization_124,3
organization_125,28
organization_126,3
organization_127,5
organization_128,17
organization_129,17
organization_130,17
organization_131,17
organization_132,17
organization_133,6
organization_135,6
organization_136,32
organization_137,28
organization_138,28
organization_139,28
organization_140,14
organization_141,14
organization_142,14
organization_143,14
organization_144,14
organization_149,8
organization_150,3
organization_151,3
organization_152,3
organization_153,1
organization_154,3
organization_155,3
organization_156,6
organization_157,2
organization_158,17
organization_159,17
organization_161,19
organization_162,6
organization_163,3
organization_164,3
organization_174,3
organization_175,5
organization_176,5
organization_177,5
organization_178,27
organization_179,27
organization_180,8
organization_181,1
organization_182,28
organization_185,3
organization_186,3
organization_187,3
organization_188,1
organization_189,27
organization_190,27
organization_191,27
organization_192,27
organization_193,3
organization_194,3
organization_195,6
organization_196,24
organization_199,28
organization_200,28
organization_201,32
organization_202,24
organization_203,32
organization_204,3
organization_205,3
organization_206,5
organization_207,5
organization_208,5
organization_209,17
organization_210,17
organization_211,1
organization_212,6
organization_213,17
organization_214,25
organization_215,5
organization_216,27
organization_217,27
organization_218,27
organization_219,27
organization_220,10
organization_221,28
organization_222,27
organization_223,27
organization_226,3
organization_227,3
organization_228,3
organization_229,1
organization_230,27
organization_231,27
organization_232,6
organization_233,6
organization_234,32
organization_235,3
organization_237,1
organization_241,17
organization_242,6
organization_243,6
organization_244,6
organization_245,6
organization_247,28
organization_248,28
organization_249,28
organization_250,5
organization_251,24
organization_252,28
organization_253,28
organization_254,28
organization_255,2
organization_256,24
organization_257,5
organization_258,3
organization_259,3
organization_260,3
organization_261,16
organization_262,17
organization_263,6
organization_264,19
organization_265,3
organization_266,8
organization_267,32
organization_268,8
organization_269,8
organization_270,8
organization_271,3
organization_273,30
organization_274,3
organization_275,28
organization_276,32
organization_277,3
organization_278,3
organization_279,3
organization_280,3
organization_281,3
organization_282,3
organization_288,6
organization_291,3
organization_294,1
organization_295,6
organization_298,28
organization_299,28
organization_300,28
organization_302,17
organization_303,3
organization_304,1
organization_306,31
organization_307,31
organization_309,3
organization_310,3
organization_311,24
organization_312,6
organization_313,1
organization_314,5
organization_317,14
organization_318,14
organization_319,14
organization_320,14
organization_321,3
organization_322,24
organization_323,3
organization_324,33
organization_325,33
organization_326,19
organization_327,3
organization_328,3
organization_329,3
organization_330,3
organization_331,3
organization_333,6
organization_334,6
organization_335,6
organization_336,17
organization_337,24
organization_338,24
organization_339,24
organization_340,24
organization_341,24
organization_342,24
organization_343,24
organization_344,24
organization_345,24
organization_347,30
organization_348,30
organization_349,32
organization_350,30
organization_351,3
organization_352,3
organization_353,3
organization_354,10
organization_355,10
organization_356,1
organization_357,1
organization_358,1
organization_359,1
organization_360,3
organization_361,3
organization_362,6
organization_363,6
organization_364,27
organization_365,28
organization_366,28
organization_367,32
organization_368,6
organization_369,10
organization_370,6
organization_379,13
organization_380,13
organization_381,17
organization_382,3
organization_383,17
organization_384,1
organization_385,30
organization_386,14
organization_387,14
organization_388,6
organization_389,6
organization_390,6
organization_391,6
organization_392,28
organization_393,27
organization_394,28
organization_395,3
organization_396,3
organization_397,3
organization_398,6
organization_399,6
organization_400,6
organization_401,32
organization_402,32
organization_403,6
organization_404,6
organization_405,6
organization_406,6
organization_407,6
organization_409,6
organization_410,6
organization_414,6
organization_415,6
organization_416,28
organization_417,3
organization_418,6
organization_419,16
organization_420,3
organization_421,3
organization_422,28
organization_433,24
organization_434,24
organization_435,24
organization_436,25
organization_437,1
organization_438,3
organization_439,5
organization_440,1
organization_441,1
organization_442,3
organization_443,5
organization_444,3
organization_445,32
organization_446,32
organization_447,3
organization_448,3
organization_449,28
organization_450,3
organization_451,3
organization_452,3
organization_453,5
organization_454,17
organization_455,28
organization_456,17
organization_457,3
organization_458,3
organization_459,3
organization_462,28
organization_465,6
organization_466,6
organization_467,1
organization_468,1
organization_469,13
organization_470,1
organization_471,17
organization_473,32
organization_474,28
organization_475,28
organization_476,14
organization_477,14
organization_478,14
organization_479,3
organization_480,17
organization_481,17
organization_482,17
organization_483,3
organization_484,17
organization_485,17
organization_486,17
organization_489,6
organization_490,6
organization_491,6
organization_492,17
organization_493,3
organization_494,3
organization_495,10
organization_496,10
organization_497,14
organization_498,14
organization_499,14
organization_500,14
organization_501,14
organization_502,14
organization_503,14
organization_504,14
organization_505,14
organization_506,6
organization_507,6
organization_508,6
organization_509,3
organization_510,3
organization_511,3
organization_512,3
organization_513,3
organization_514,3
organization_515,3
organization_516,3
organization_517,6
organization_519,6
organization_520,3
organization_521,3
organization_522,24
organization_523,24
organization_524,5
organization_525,1
organization_526,1
organization_527,17
organization_529,3
organization_530,3
organization_531,3
organization_532,3
organization_533,17
organization_534,3
organization_539,5
organization_540,5
organization_541,5
organization_548,8
organization_549,32
organization_550,3
organization_551,14
organization_552,5
organization_553,17
organization_555,28
organization_559,17
organization_561,24
organization_562,4
organization_563,1
organization_564,1
organization_565,1
organization_566,3
organization_567,28
organization_568,28
organization_570,1
organization_571,10
organization_572,8
organization_573,6
organization_574,6
organization_576,14
organization_577,14
organization_578,14
organization_579,14
organization_580,3
organization_581,3
organization_582,6
organization_583,5
organization_584,28
organization_585,32
organization_586,32
organization_587,32
organization_588,32
organization_589,32
organization_593,3
organization_594,10
organization_595,1
organization_596,3
organization_597,3
organization_598,5
organization_599,3
organization_600,3
organization_601,3
organization_602,6
organization_603,6
organization_604,6
organization_608,3
organization_609,1
organization_610,6
organization_611,24
organization_612,24
organization_616,3
organization_617,19
organization_618,3
organization_619,6
organization_620,6
organization_621,24
organization_622,13
organization_623,28
organization_625,30
organization_630,3
organization_631,3
organization_632,28
organization_633,1
organization_634,24
organization_635,24
organization_636,24
organization_637,3
organization_638,3
organization_639,1
organization_640,1
organization_641,1
organization_642,1
organization_643,1
